#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75747.1           -           1589 1046at5820           -           1126         0 2175.9  73.4   1   5  3.8e-137  2.7e-134  447.5  15.0     1   259     5   284     5   315 0.92 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1046at5820           -           1126         0 2175.9  73.4   2   5   4.3e-91     3e-88  295.0   2.3   261   407   365   512   353   521 0.95 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1046at5820           -           1126         0 2175.9  73.4   3   5   7.6e-69   5.3e-66  221.3   2.3   406   549   556   710   552   729 0.90 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1046at5820           -           1126         0 2175.9  73.4   4   5    1e-204    7e-202  671.3  13.4   548   864   913  1238   893  1242 0.95 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1046at5820           -           1126         0 2175.9  73.4   5   5  1.6e-172  1.1e-169  564.7   9.2   865  1126  1327  1589  1319  1589 0.98 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO73963.1           -           1529 1046at5820           -           1126   1.4e-82  276.2  31.5   1   6      0.12        81   -1.2   0.4   197   217   462   482   409   491 0.65 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1046at5820           -           1126   1.4e-82  276.2  31.5   2   6   2.5e-29   1.7e-26   90.5   0.0   210   336   712   849   667   856 0.79 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1046at5820           -           1126   1.4e-82  276.2  31.5   3   6   1.9e-18   1.3e-15   54.4   0.1   572   650   944  1021   923  1030 0.83 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1046at5820           -           1126   1.4e-82  276.2  31.5   4   6     1e-18     7e-16   55.3   0.5   715   806  1048  1142  1033  1154 0.88 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1046at5820           -           1126   1.4e-82  276.2  31.5   5   6      0.12        84   -1.2   2.1   826   869  1245  1286  1231  1307 0.80 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO73963.1           -           1529 1046at5820           -           1126   1.4e-82  276.2  31.5   6   6   2.8e-29     2e-26   90.3   3.4   943  1113  1312  1503  1299  1523 0.83 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO71299.1           -           1807 1046at5820           -           1126   5.5e-42  141.8  27.9   1   5   2.3e-10   1.6e-07   27.7   0.1   178   242   538   601   525   672 0.87 helicase SRCAP, putative [Plasmodium vivax]
SCO71299.1           -           1807 1046at5820           -           1126   5.5e-42  141.8  27.9   2   5   2.2e-12   1.6e-09   34.3   1.1   571   644   663   735   644   748 0.82 helicase SRCAP, putative [Plasmodium vivax]
SCO71299.1           -           1807 1046at5820           -           1126   5.5e-42  141.8  27.9   3   5      0.46   3.2e+02   -3.1   0.2   721   798   781   850   771   859 0.53 helicase SRCAP, putative [Plasmodium vivax]
SCO71299.1           -           1807 1046at5820           -           1126   5.5e-42  141.8  27.9   4   5   8.1e-32   5.7e-29   98.7   1.9   941  1107  1396  1563  1388  1571 0.89 helicase SRCAP, putative [Plasmodium vivax]
SCO71299.1           -           1807 1046at5820           -           1126   5.5e-42  141.8  27.9   5   5       3.7   2.6e+03   -6.1   2.8    97   191  1634  1724  1629  1761 0.56 helicase SRCAP, putative [Plasmodium vivax]
