#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114605.1-p1      -            674 5931at5820           -            453  1.5e-223  740.7  26.6   1   3    6e-149  8.2e-146  484.5   5.6     1   243     1   245     1   267 0.95 | transcript=PVX_114605.1 | gene=PVX_114605 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:781035-783059(+) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114605.1-p1      -            674 5931at5820           -            453  1.5e-223  740.7  26.6   2   3   3.7e-76   5.1e-73  244.5   7.1   249   415   373   556   365   581 0.79 | transcript=PVX_114605.1 | gene=PVX_114605 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:781035-783059(+) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114605.1-p1      -            674 5931at5820           -            453  1.5e-223  740.7  26.6   3   3   1.5e-08     2e-05   21.7   0.3   416   453   625   662   609   662 0.77 | transcript=PVX_114605.1 | gene=PVX_114605 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:781035-783059(+) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091652.1-p1      -            367 5931at5820           -            453   5.5e-07   26.8   1.6   1   1   5.7e-10   7.9e-07   26.3   1.6   102   209   120   222    83   241 0.79 | transcript=PVX_091652.1 | gene=PVX_091652 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:680477-681766(-) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081730.1-p1      -            591 5931at5820           -            453   1.2e-06   25.8   1.6   1   2   1.4e-09   1.9e-06   25.1   0.3   105   166    62   120    51   187 0.80 | transcript=PVX_081730.1 | gene=PVX_081730 | organism=Plasmodium_vivax_Sal-1 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=Pv_Sal1_chr02:614853-617628(-) | protein_length=591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081730.1-p1      -            591 5931at5820           -            453   1.2e-06   25.8   1.6   2   2      0.32   4.4e+02   -2.5   0.0   338   372   226   260   223   270 0.78 | transcript=PVX_081730.1 | gene=PVX_081730 | organism=Plasmodium_vivax_Sal-1 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=Pv_Sal1_chr02:614853-617628(-) | protein_length=591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001055.1-p1      -            873 5931at5820           -            453   4.8e-06   23.7   0.1   1   3   3.5e-09   4.8e-06   23.7   0.1   119   199    43   121    24   142 0.82 | transcript=PVX_001055.1 | gene=PVX_001055 | organism=Plasmodium_vivax_Sal-1 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=Pv_Sal1_chr03:56414-59035(-) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001055.1-p1      -            873 5931at5820           -            453   4.8e-06   23.7   0.1   2   3      0.75     1e+03   -3.7   0.2   327   346   169   188   154   194 0.77 | transcript=PVX_001055.1 | gene=PVX_001055 | organism=Plasmodium_vivax_Sal-1 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=Pv_Sal1_chr03:56414-59035(-) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001055.1-p1      -            873 5931at5820           -            453   4.8e-06   23.7   0.1   3   3      0.26   3.6e+02   -2.2   0.2    13    48   796   832   787   841 0.71 | transcript=PVX_001055.1 | gene=PVX_001055 | organism=Plasmodium_vivax_Sal-1 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=Pv_Sal1_chr03:56414-59035(-) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5931at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:12 2026
# [ok]
