#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091905.1-p1      -            588 5407at5820           -            457  8.1e-251  830.7  24.5   1   1  3.3e-253  2.3e-250  829.2  24.5     2   457     3   500     2   500 0.94 | transcript=PVX_091905.1 | gene=PVX_091905 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:934926-937683(-) | protein_length=588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091910.1-p1      -            566 5407at5820           -            457   3.9e-43  146.1  13.8   1   1   7.7e-46   5.3e-43  145.6  13.8    51   450   140   554   120   560 0.82 | transcript=PVX_091910.1 | gene=PVX_091910 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:938945-941234(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 5407at5820           -            457   2.9e-37  126.7  13.8   1   1   6.4e-40   4.4e-37  126.1  13.8    46   431   128   527   122   549 0.80 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 5407at5820           -            457     4e-37  126.3  14.0   1   1   8.7e-40     6e-37  125.7  14.0    46   431   128   527   122   549 0.80 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 5407at5820           -            457   8.8e-21   72.4   0.1   1   3   1.9e-06    0.0013   15.7   0.0   264   320    15    72     1    82 0.78 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 5407at5820           -            457   8.8e-21   72.4   0.1   2   3   4.5e-17   3.1e-14   50.8   0.0   119   291    87   266    80   276 0.80 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 5407at5820           -            457   8.8e-21   72.4   0.1   3   3     0.038        26    1.6   0.1    67    88   295   316   280   325 0.85 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 5407at5820           -            457   7.4e-16   56.1  15.7   1   2   3.9e-16   2.7e-13   47.7   7.7    68   264    83   280    74   287 0.47 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 5407at5820           -            457   7.4e-16   56.1  15.7   2   2   2.3e-05     0.016   12.2   1.0   270   336   341   409   329   465 0.73 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 5407at5820           -            457   2.3e-08   31.5   2.1   1   3       0.1        70    0.2   0.0    76   101  1190  1215  1176  1251 0.78 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 5407at5820           -            457   2.3e-08   31.5   2.1   2   3     0.028        19    2.0   0.0    77   138  1269  1342  1258  1365 0.73 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
