#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475851.1         -           1071 1887at5820           -            670         0 1091.9  61.7   1   5   5.8e-05      0.07    9.9   0.2     1    27     1    27     1    39 0.85 | transcript=PVW1_130031200_t1 | gene=PVW1_130031200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1151817-1155032(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475851.1         -           1071 1887at5820           -            670         0 1091.9  61.7   2   5   3.7e-68   4.5e-65  218.7   1.0    17   137   134   254   127   255 0.98 | transcript=PVW1_130031200_t1 | gene=PVW1_130031200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1151817-1155032(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475851.1         -           1071 1887at5820           -            670         0 1091.9  61.7   3   5   4.4e-47   5.3e-44  149.0   6.0   137   226   321   425   318   432 0.90 | transcript=PVW1_130031200_t1 | gene=PVW1_130031200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1151817-1155032(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475851.1         -           1071 1887at5820           -            670         0 1091.9  61.7   4   5  8.1e-123  9.8e-120  399.3  10.0   215   458   448   715   433   727 0.89 | transcript=PVW1_130031200_t1 | gene=PVW1_130031200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1151817-1155032(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475851.1         -           1071 1887at5820           -            670         0 1091.9  61.7   5   5  1.5e-103  1.8e-100  335.7  16.8   456   670   810  1038   804  1038 0.94 | transcript=PVW1_130031200_t1 | gene=PVW1_130031200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1151817-1155032(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473395.1         -           1127 1887at5820           -            670   6.1e-48  162.1  21.1   1   5    0.0015       1.9    5.2   0.1    18    45   110   137   107   157 0.84 | transcript=PVW1_120037900_t1 | gene=PVW1_120037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1376051-1381344(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473395.1         -           1127 1887at5820           -            670   6.1e-48  162.1  21.1   2   5     5e-51   6.1e-48  162.1  21.1    52   389   248   611   244   618 0.81 | transcript=PVW1_120037900_t1 | gene=PVW1_120037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1376051-1381344(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473395.1         -           1127 1887at5820           -            670   6.1e-48  162.1  21.1   3   5      0.38   4.6e+02   -2.8   1.7   397   456   645   707   634   712 0.65 | transcript=PVW1_120037900_t1 | gene=PVW1_120037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1376051-1381344(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473395.1         -           1127 1887at5820           -            670   6.1e-48  162.1  21.1   4   5       0.1   1.3e+02   -0.9   2.0   232   289   802   860   784   867 0.73 | transcript=PVW1_120037900_t1 | gene=PVW1_120037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1376051-1381344(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473395.1         -           1127 1887at5820           -            670   6.1e-48  162.1  21.1   5   5      0.34   4.1e+02   -2.6   1.2   201   241  1075  1116  1064  1120 0.85 | transcript=PVW1_120037900_t1 | gene=PVW1_120037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1376051-1381344(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474017.1         -           2439 1887at5820           -            670   9.7e-26   88.7  72.0   1   7     0.077        94   -0.5   5.7   384   484   165   279   151   320 0.73 | transcript=PVW1_120082800_t1 | gene=PVW1_120082800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3303471-3311786(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
