#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65182.1           -            256 10067at5820          -            223  1.1e-143  474.8   3.2   1   1  3.8e-144  1.9e-141  467.5   3.2     1   223     6   253     6   253 0.94 proteasome subunit alpha type-5, putative [Plasmodium vivax]
SCO68081.1           -            246 10067at5820          -            223   3.4e-34  116.8   0.0   1   1   8.5e-37   4.3e-34  116.4   0.0     2   185     4   183     3   212 0.89 proteasome subunit alpha type-4, putative [Plasmodium vivax]
SCO68307.1           -            235 10067at5820          -            223   3.5e-31  106.9   0.1   1   1   9.4e-34   4.8e-31  106.5   0.1     2   186     5   183     4   213 0.91 proteasome subunit alpha type-2, putative [Plasmodium vivax]
SCO68080.1           -            241 10067at5820          -            223   3.6e-31  106.9   0.0   1   1   1.1e-33   5.3e-31  106.3   0.0     2   205     2   205     1   216 0.83 proteasome subunit alpha type-7, putative [Plasmodium vivax]
SCO69076.1           -            269 10067at5820          -            223   4.4e-30  103.4   0.2   1   1   1.1e-32   5.6e-30  103.0   0.2     3   181     6   175     4   213 0.82 proteasome subunit alpha type-1, putative [Plasmodium vivax]
SCO64981.1           -            260 10067at5820          -            223   1.2e-18   65.9   0.8   1   1   3.9e-21     2e-18   65.2   0.7     1   176     7   185     7   220 0.79 proteasome subunit alpha type-6, putative [Plasmodium vivax]
SCO66951.1           -            253 10067at5820          -            223   1.8e-18   65.4   0.3   1   1   7.1e-21   3.6e-18   64.4   0.3     2   176     7   178     6   212 0.84 proteasome subunit alpha type-3, putative [Plasmodium vivax]
SCO68642.1           -            270 10067at5820          -            223   2.8e-06   25.5   0.1   1   1   1.3e-07   6.7e-05   21.0   0.1    27   184    39   186    35   199 0.77 proteasome subunit beta type-7, putative [Plasmodium vivax]
SCO66831.1           -            273 10067at5820          -            223   2.3e-05   22.5   0.9   1   1   3.5e-07   0.00018   19.6   0.9    29   177    62   201    52   221 0.75 proteasome subunit beta type-5, putative [Plasmodium vivax]
SCO66647.1           -            282 10067at5820          -            223   4.4e-05   21.6   0.2   1   2   5.1e-06    0.0026   15.8   0.1    26    93    26    95    19   133 0.86 proteasome subunit beta type-6, putative [Plasmodium vivax]
SCO66647.1           -            282 10067at5820          -            223   4.4e-05   21.6   0.2   2   2     0.021        11    4.0   0.0   133   185   177   231   148   266 0.70 proteasome subunit beta type-6, putative [Plasmodium vivax]
SCO65121.1           -            218 10067at5820          -            223    0.0096   13.9   0.0   1   1   2.8e-05     0.014   13.4   0.0    38   113    19    96     6   105 0.79 proteasome subunit beta type-3, putative [Plasmodium vivax]
SCO69772.1           -            228 10067at5820          -            223     0.024   12.6   0.8   1   1   0.00014     0.069   11.1   0.8    55   125    70   140    36   148 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10067at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10067at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:37 2026
# [ok]
