#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74094.1           -            533 5505at5820           -            448  2.8e-281  931.2  17.5   1   3      0.21        68    0.4   0.1     1    16     1    16     1    19 0.91 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO74094.1           -            533 5505at5820           -            448  2.8e-281  931.2  17.5   2   3  3.9e-128  1.3e-125  418.1   0.5     9   199    56   246    52   259 0.97 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO74094.1           -            533 5505at5820           -            448  2.8e-281  931.2  17.5   3   3  1.1e-158  3.6e-156  518.8   7.0   196   448   270   533   265   533 0.97 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO70588.1           -            447 5505at5820           -            448   2.4e-44  150.2   6.0   1   2   1.2e-26   3.8e-24   83.6   2.1    16   199    45   224    30   231 0.85 chromatin assembly factor 1 protein WD40 domain, putative [Plasmodium vivax]
SCO70588.1           -            447 5505at5820           -            448   2.4e-44  150.2   6.0   2   2   4.4e-22   1.5e-19   68.6   0.1   245   445   231   432   224   434 0.83 chromatin assembly factor 1 protein WD40 domain, putative [Plasmodium vivax]
SCO74749.1           -            509 5505at5820           -            448   4.9e-35  119.6  21.2   1   2   4.1e-20   1.4e-17   62.1   9.2     8   224    22   227    14   236 0.86 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO74749.1           -            509 5505at5820           -            448   4.9e-35  119.6  21.2   2   2   1.7e-20   5.7e-18   63.3   4.1   266   443   321   493   301   496 0.84 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO71350.1           -            458 5505at5820           -            448     3e-13   47.7   0.1   1   2   1.4e-05    0.0047   14.2   0.0   351   429   144   221   132   238 0.79 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO71350.1           -            458 5505at5820           -            448     3e-13   47.7   0.1   2   2   8.1e-11   2.7e-08   31.4   0.1   276   410   283   423   263   429 0.76 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO73958.1           -            644 5505at5820           -            448   3.4e-10   37.7   3.5   1   4         3   9.9e+02   -3.4   4.7   190   362   121   295    43   306 0.60 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 5505at5820           -            448   3.4e-10   37.7   3.5   2   4    0.0014      0.46    7.6   4.2   138   216   253   332   249   338 0.66 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
