#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1019600.1-p1   -            987 3175at5820           -            591  4.4e-234  777.1   9.6   1   6   1.7e-08   1.8e-05   22.2   0.0    24    60   159   198   154   206 0.86 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 3175at5820           -            591  4.4e-234  777.1   9.6   2   6   7.1e-49   7.7e-46  155.5   0.1    59   166   218   336   212   342 0.90 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 3175at5820           -            591  4.4e-234  777.1   9.6   3   6   1.9e-19   2.1e-16   58.3   0.0   168   223   398   454   392   462 0.91 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 3175at5820           -            591  4.4e-234  777.1   9.6   4   6   4.8e-72   5.2e-69  232.0   0.2   225   358   478   617   475   627 0.94 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 3175at5820           -            591  4.4e-234  777.1   9.6   5   6   9.2e-16     1e-12   46.1   0.1   366   429   650   736   645   746 0.81 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 3175at5820           -            591  4.4e-234  777.1   9.6   6   6   1.8e-80     2e-77  259.8   0.1   434   591   811   985   791   985 0.89 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211800.1-p1   -            631 3175at5820           -            591   4.7e-53  179.3  19.9   1   3   5.4e-33   5.9e-30  103.0   9.2    60   319   176   443   115   457 0.76 | transcript=PVP01_0211800.1 | gene=PVP01_0211800 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_02_v2:485309-487204(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211800.1-p1   -            631 3175at5820           -            591   4.7e-53  179.3  19.9   2   3   2.5e-18   2.7e-15   54.6   1.2   438   535   487   586   470   586 0.83 | transcript=PVP01_0211800.1 | gene=PVP01_0211800 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_02_v2:485309-487204(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211800.1-p1   -            631 3175at5820           -            591   4.7e-53  179.3  19.9   3   3   4.2e-11   4.6e-08   30.8   0.2   544   590   574   620   569   621 0.86 | transcript=PVP01_0211800.1 | gene=PVP01_0211800 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_02_v2:485309-487204(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 3175at5820           -            591   1.9e-10   38.6   0.9   1   4      0.13   1.5e+02   -0.6   0.0   170   221   359   410   352   418 0.81 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 3175at5820           -            591   1.9e-10   38.6   0.9   2   4   5.5e-09     6e-06   23.8   0.7   261   355   492   592   467   605 0.80 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 3175at5820           -            591   1.9e-10   38.6   0.9   3   4     0.064        69    0.4   0.0   460   509   633   681   619   699 0.70 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
