#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1221800.1-p1   -           1206 1152at5820           -            961         0 1851.2  55.6   1   3  1.2e-143  1.3e-140  468.9   9.2     1   214    68   283    68   286 0.99 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 1152at5820           -            961         0 1851.2  55.6   2   3         0         0 1087.1  22.5   213   748   328   910   322   922 0.95 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 1152at5820           -            961         0 1851.2  55.6   3   3   3.5e-94   3.8e-91  305.2   7.9   747   961   935  1174   932  1174 0.94 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1152at5820           -            961   5.8e-37  125.8  10.3   1   1   7.3e-37   7.9e-34  115.5  10.3     9   607    46   640    39   665 0.79 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1152at5820           -            961   2.7e-18   64.0  29.7   1   7     4e-12   4.3e-09   33.6   0.2    36    97   219   281   185   289 0.81 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1152at5820           -            961   2.7e-18   64.0  29.7   2   7      0.14   1.5e+02   -1.3   1.2   113   190   373   450   365   468 0.69 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1152at5820           -            961   2.7e-18   64.0  29.7   3   7    0.0014       1.5    5.3   0.2   213   326   525   652   519   659 0.65 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1152at5820           -            961   2.7e-18   64.0  29.7   4   7   8.3e-09   9.1e-06   22.6   0.4   380   456   820   898   797   902 0.81 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1152at5820           -            961   2.7e-18   64.0  29.7   5   7     0.031        34    0.8   0.0   539   560  1058  1079  1046  1085 0.81 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1152at5820           -            961   2.7e-18   64.0  29.7   6   7      0.98   1.1e+03   -4.1   0.0   568   596  1156  1184  1154  1188 0.87 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1152at5820           -            961   2.7e-18   64.0  29.7   7   7   6.6e-08   7.2e-05   19.6   0.5   583   747  1218  1405  1214  1421 0.75 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
