#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65655.1           -            473 6337at5820           -            408    3e-269  891.2  15.1   1   2   3.8e-63     6e-61  205.1   1.1     1   106     8   125     8   130 0.95 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO65655.1           -            473 6337at5820           -            408    3e-269  891.2  15.1   2   2  1.5e-210  2.4e-208  690.6   6.8   104   408   156   473   151   473 0.99 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO66912.1           -            433 6337at5820           -            408     4e-76  255.1   0.4   1   1   2.9e-78   4.7e-76  254.9   0.4    38   405    58   432    23   433 0.91 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO68760.1           -            398 6337at5820           -            408   1.9e-66  223.2   2.4   1   1   1.5e-68   2.4e-66  222.9   2.4    41   399    24   393     2   397 0.88 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO66039.1           -            388 6337at5820           -            408   5.6e-64  215.1   2.6   1   1   4.5e-66   7.2e-64  214.7   2.6    41   400    16   384     2   386 0.89 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO65570.1           -            536 6337at5820           -            408   8.3e-52  175.0   2.1   1   1   8.5e-54   1.4e-51  174.3   2.1    13   383   102   483    92   500 0.85 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO67714.1           -           1006 6337at5820           -            408   1.4e-49  167.6   0.1   1   1   1.1e-49   1.8e-47  160.8   0.1    47   381   588   962   580   972 0.78 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO70262.1           -            731 6337at5820           -            408   6.2e-44  149.1   5.8   1   1   3.2e-44   5.1e-42  142.8   5.8    42   377   106   487    75   496 0.79 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO67810.1           -           1450 6337at5820           -            408   9.6e-44  148.4   0.4   1   1   9.4e-46   1.5e-43  147.8   0.4    22   400   649  1044   630  1051 0.81 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO68991.1           -            528 6337at5820           -            408   1.4e-43  147.9   0.0   1   1   1.1e-45   1.8e-43  147.5   0.0    41   386   119   477    77   490 0.83 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO70027.1           -            717 6337at5820           -            408   1.5e-42  144.5   1.3   1   2   1.5e-05    0.0024   15.4   0.0    57   118   294   360   278   368 0.78 DNA helicase 60, putative [Plasmodium vivax]
SCO70027.1           -            717 6337at5820           -            408   1.5e-42  144.5   1.3   2   2   1.9e-39   3.1e-37  127.0   1.2   103   373   397   678   390   682 0.87 DNA helicase 60, putative [Plasmodium vivax]
SCO67619.1           -            667 6337at5820           -            408   4.9e-42  142.8   0.2   1   1   4.9e-44   7.8e-42  142.1   0.2    41   382   219   583   190   600 0.84 RNA helicase 1, putative [Plasmodium vivax]
SCO68859.1           -            787 6337at5820           -            408   1.2e-41  141.6   5.0   1   1   3.7e-42   5.9e-40  136.0   5.0     5   396   335   773   332   781 0.76 ATP-dependent RNA helicase DBP5, putative [Plasmodium vivax]
SCO65802.1           -           1193 6337at5820           -            408   1.9e-38  131.0   6.7   1   1   1.9e-40     3e-38  130.4   6.7    21   378   152   524   143   532 0.83 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO68088.1           -            599 6337at5820           -            408   2.4e-38  130.7   3.3   1   1   2.2e-40   3.5e-38  130.1   3.3    41   377   147   498   129   511 0.85 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO67853.1           -            720 6337at5820           -            408   5.8e-37  126.1   1.0   1   2   0.00076      0.12    9.8   0.0    47   109   133   195   122   201 0.90 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67853.1           -            720 6337at5820           -            408   5.8e-37  126.1   1.0   2   2   1.7e-35   2.7e-33  114.0   0.8   104   401   221   532   215   536 0.79 ATP-dependent helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 6337at5820           -            408   5.1e-36  123.0   4.8   1   1   2.3e-35   3.7e-33  113.6   4.8    47   377   347   731   331   747 0.77 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO66253.1           -           1015 6337at5820           -            408   1.3e-34  118.4   1.4   1   1   1.3e-36     2e-34  117.7   1.4    50   377   635   989   628   998 0.82 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO68599.1           -            489 6337at5820           -            408   4.8e-34  116.5   0.2   1   1   1.3e-35     2e-33  114.4   0.2    56   386    74   433    45   442 0.78 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO69405.1           -            877 6337at5820           -            408   1.8e-33  114.6  13.5   1   1   1.6e-35   2.6e-33  114.1  13.5    38   380   132   496    95   528 0.81 ATP-dependent RNA helicase DBP4, putative [Plasmodium vivax]
SCO66904.1           -            761 6337at5820           -            408   9.8e-30  102.3  10.8   1   2   6.8e-05     0.011   13.2   0.0    47   108   261   322   251   326 0.91 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO66904.1           -            761 6337at5820           -            408   9.8e-30  102.3  10.8   2   2   8.1e-28   1.3e-25   88.7   8.9   104   382   374   662   369   691 0.84 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO68998.1           -            791 6337at5820           -            408   7.9e-24   82.8   6.8   1   2   2.3e-16   3.7e-14   51.0   1.1    50   205   250   435   213   469 0.76 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO68998.1           -            791 6337at5820           -            408   7.9e-24   82.8   6.8   2   2   1.9e-11     3e-09   34.8   0.4   243   378   547   682   538   698 0.79 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO67682.1           -            816 6337at5820           -            408   2.7e-23   81.1   9.7   1   3   3.8e-08   6.1e-06   23.9   0.0    41   102     3    64     1    74 0.91 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO67682.1           -            816 6337at5820           -            408   2.7e-23   81.1   9.7   2   3   4.7e-06   0.00075   17.1   0.4   107   234   329   468   297   492 0.75 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO67682.1           -            816 6337at5820           -            408   2.7e-23   81.1   9.7   3   3   7.1e-14   1.1e-11   42.8   1.8   290   377   601   689   540   696 0.82 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO69659.1           -            626 6337at5820           -            408   5.5e-23   80.1   7.8   1   1   4.7e-25   7.5e-23   79.6   7.8    56   376   166   510   153   541 0.79 DEAD box helicase, putative [Plasmodium vivax]
