#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472320.1         -            110 14892at5820          -             86   7.6e-60  197.7   1.7   1   1   4.3e-62   8.9e-60  197.5   1.7     1    86    20   105    20   105 0.99 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 14892at5820          -             86     4e-14   51.2   1.2   1   4   3.8e-06    0.0008   18.2   0.0     6    61    27    85    22   100 0.82 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 14892at5820          -             86     4e-14   51.2   1.2   2   4   0.00021     0.045   12.6   0.1     1    64   110   175   110   188 0.83 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 14892at5820          -             86     4e-14   51.2   1.2   3   4    0.0013      0.28   10.0   0.0     1    60   199   258   199   274 0.82 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 14892at5820          -             86     4e-14   51.2   1.2   4   4     0.029         6    5.8   0.0     2    54   456   510   455   538 0.77 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479718.1         -            292 14892at5820          -             86   1.4e-09   36.7   0.1   1   2   6.4e-05     0.013   14.3   0.0     2    63    14    80    13    97 0.80 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479718.1         -            292 14892at5820          -             86   1.4e-09   36.7   0.1   2   2   9.1e-07   0.00019   20.2   0.0     2    65   162   227   161   234 0.84 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 14892at5820          -             86     2e-09   36.1   3.3   1   4       2.5   5.2e+02   -0.4   0.0    36    65    57    86    26    94 0.78 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 14892at5820          -             86     2e-09   36.1   3.3   2   4       2.1   4.4e+02   -0.2   0.0    21    40   105   124    85   131 0.78 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 14892at5820          -             86     2e-09   36.1   3.3   3   4   2.6e-06   0.00054   18.7   0.1     5    79   128   205   124   208 0.84 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 14892at5820          -             86     2e-09   36.1   3.3   4   4   3.5e-05    0.0074   15.1   0.1     2    65   216   281   215   286 0.86 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
