#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1307500.1-p1   -           1539 1149at5820           -            799         0 1365.7 123.6   1   5  2.7e-289    6e-286  949.7  60.4     1   444    66   516    66   560 0.96 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1149at5820           -            799         0 1365.7 123.6   2   5   1.8e-37   3.9e-34  116.9  21.8   452   569   740   883   720   897 0.77 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1149at5820           -            799         0 1365.7 123.6   3   5   7.1e-16   1.5e-12   45.4   1.7   574   629  1038  1103  1028  1144 0.75 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1149at5820           -            799         0 1365.7 123.6   4   5   6.4e-40   1.4e-36  125.0   7.0   626   711  1266  1351  1170  1363 0.85 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1149at5820           -            799         0 1365.7 123.6   5   5   4.6e-48   9.9e-45  151.9   1.9   709   799  1439  1539  1426  1539 0.93 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1149at5820           -            799     3e-62  209.8  51.3   1   5   7.7e-42   1.7e-38  131.3  27.1     3   221    22   251    20   273 0.84 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1149at5820           -            799     3e-62  209.8  51.3   2   5   8.9e-31   1.9e-27   94.7  16.2   244   434   500   674   485   721 0.82 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1149at5820           -            799     3e-62  209.8  51.3   3   5       1.6   3.5e+03   -5.4   2.1   600   631  1248  1279  1199  1337 0.50 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1149at5820           -            799     3e-62  209.8  51.3   4   5       1.2   2.6e+03   -4.9   2.8   446   534  1618  1682  1585  1699 0.52 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1149at5820           -            799     3e-62  209.8  51.3   5   5    0.0079        17    2.3   0.1   759   798  2102  2140  2066  2141 0.79 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 1149at5820           -            799       1.4    5.9   8.4   1   2     0.071   1.5e+02   -0.9   2.2   471   502    51    82    18   111 0.52 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
