#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101160.1-p1      -            150 13845at5820          -            129   2.7e-66  219.8   1.5   1   1   8.2e-69   3.2e-66  219.5   1.5     2   129     7   150     6   150 0.92 | transcript=PVX_101160.1 | gene=PVX_101160 | organism=Plasmodium_vivax_Sal-1 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=Pv_Sal1_chr14:2682940-2684147(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095270.1-p1      -            160 13845at5820          -            129   2.2e-19   68.0   0.4   1   1   7.3e-22   2.9e-19   67.7   0.4    44   119    54   130    33   147 0.91 | transcript=PVX_095270.1 | gene=PVX_095270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:949943-950560(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084235.1-p1      -            147 13845at5820          -            129   3.6e-18   64.1   0.1   1   1   1.3e-20     5e-18   63.7   0.1    47   121    54   129    42   135 0.91 | transcript=PVX_084235.1 | gene=PVX_084235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 4, putative | transcript_product=ubiquitin-conjugating enzyme E2 4, putative | location=Pv_Sal1_chr13:113858-115469(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114795.1-p1      -            202 13845at5820          -            129   7.5e-18   63.1   0.2   1   2   9.2e-20   3.6e-17   60.9   0.1     9   120    12   137     6   143 0.78 | transcript=PVX_114795.1 | gene=PVX_114795 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr11:627425-629176(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114795.1-p1      -            202 13845at5820          -            129   7.5e-18   63.1   0.2   2   2         1     4e+02   -0.7   0.0    79    95   182   198   152   200 0.66 | transcript=PVX_114795.1 | gene=PVX_114795 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr11:627425-629176(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079885.1-p1      -            152 13845at5820          -            129   2.9e-17   61.2   0.0   1   1   9.4e-20   3.7e-17   60.9   0.0    48   120    56   129    44   137 0.87 | transcript=PVX_079885.1 | gene=PVX_079885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 N, putative | transcript_product=ubiquitin-conjugating enzyme E2 N, putative | location=Pv_Sal1_chr10:178944-180024(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113480.1-p1      -            152 13845at5820          -            129     6e-17   60.2   0.0   1   1   2.2e-19   8.6e-17   59.7   0.0    42   120    49   129    34   138 0.89 | transcript=PVX_113480.1 | gene=PVX_113480 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 I, putative | transcript_product=ubiquitin-conjugating enzyme E2 I, putative | location=Pv_Sal1_chr11:1772616-1773916(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123140.1-p1      -            164 13845at5820          -            129   1.3e-15   55.9   0.1   1   1   4.4e-18   1.7e-15   55.5   0.1    47   118    57   129    48   141 0.88 | transcript=PVX_123140.1 | gene=PVX_123140 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:1164251-1165050(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099185.1-p1      -            159 13845at5820          -            129   5.8e-12   44.1   0.1   1   1   2.1e-14   8.1e-12   43.6   0.1    47   110    62   128    57   142 0.85 | transcript=PVX_099185.1 | gene=PVX_099185 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=Pv_Sal1_chr07:572412-573302(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111030.1-p1      -            191 13845at5820          -            129   6.9e-12   43.8   0.1   1   1   2.7e-14   1.1e-11   43.2   0.1    46   119    54   130    47   140 0.82 | transcript=PVX_111030.1 | gene=PVX_111030 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr06:773084-774664(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085810.1-p1      -            301 13845at5820          -            129   3.9e-09   34.9   0.3   1   1     2e-11   8.1e-09   33.9   0.3    34   108   197   270   163   278 0.81 | transcript=PVX_085810.1 | gene=PVX_085810 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr13:1532203-1534379(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
