#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480389.1         -           1383 1394at5820           -           1113         0 2229.1  83.4   1   4   5.7e-36   6.9e-33  111.8   7.8     1   116     1   192     1   196 0.89 | transcript=PVW1_070014900_t1 | gene=PVW1_070014900 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | transcript_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | location=CAJZCX010000011:512684-516835(+) | protein_length=1383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480389.1         -           1383 1394at5820           -           1113         0 2229.1  83.4   2   4  9.5e-173  1.1e-169  564.8  11.1   116   368   274   526   270   533 0.98 | transcript=PVW1_070014900_t1 | gene=PVW1_070014900 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | transcript_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | location=CAJZCX010000011:512684-516835(+) | protein_length=1383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480389.1         -           1383 1394at5820           -           1113         0 2229.1  83.4   3   4  2.3e-249  2.8e-246  818.4  21.9   370   755   577   970   570   978 0.97 | transcript=PVW1_070014900_t1 | gene=PVW1_070014900 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | transcript_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | location=CAJZCX010000011:512684-516835(+) | protein_length=1383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480389.1         -           1383 1394at5820           -           1113         0 2229.1  83.4   4   4  2.6e-229  3.2e-226  752.0  18.6   754  1113  1022  1383  1018  1383 0.99 | transcript=PVW1_070014900_t1 | gene=PVW1_070014900 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | transcript_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | location=CAJZCX010000011:512684-516835(+) | protein_length=1383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478259.1         -           1393 1394at5820           -           1113  1.7e-155  517.8  27.9   1   3  1.5e-138  1.9e-135  451.5  11.2   148   645   259   745   215   771 0.92 | transcript=PVW1_110052700_t1 | gene=PVW1_110052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2016418-2020782(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478259.1         -           1393 1394at5820           -           1113  1.7e-155  517.8  27.9   2   3      0.11   1.3e+02   -1.7   2.2   574   648  1077  1146  1067  1156 0.79 | transcript=PVW1_110052700_t1 | gene=PVW1_110052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2016418-2020782(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478259.1         -           1393 1394at5820           -           1113  1.7e-155  517.8  27.9   3   3     1e-25   1.3e-22   77.9   0.5   938  1112  1219  1393  1214  1393 0.90 | transcript=PVW1_110052700_t1 | gene=PVW1_110052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2016418-2020782(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474017.1         -           2439 1394at5820           -           1113   4.4e-34  115.8  18.9   1   4   9.9e-07    0.0012   15.0   1.2   244   313   587   666   516   718 0.67 | transcript=PVW1_120082800_t1 | gene=PVW1_120082800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3303471-3311786(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474017.1         -           2439 1394at5820           -           1113   4.4e-34  115.8  18.9   2   4   4.3e-10   5.2e-07   26.1   0.3   469   563   769   865   694   891 0.83 | transcript=PVW1_120082800_t1 | gene=PVW1_120082800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3303471-3311786(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474017.1         -           2439 1394at5820           -           1113   4.4e-34  115.8  18.9   3   4   7.5e-13   9.1e-10   35.3   1.4   169   280  1416  1540  1403  1604 0.83 | transcript=PVW1_120082800_t1 | gene=PVW1_120082800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3303471-3311786(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474017.1         -           2439 1394at5820           -           1113   4.4e-34  115.8  18.9   4   4   7.6e-17   9.3e-14   48.5   0.2   467   566  1773  1874  1755  1927 0.83 | transcript=PVW1_120082800_t1 | gene=PVW1_120082800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3303471-3311786(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
