#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   1  13  4.4e-119  1.2e-115  386.0   1.3     1   260     1   301     1   303 0.88 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   2  13   6.7e-26   1.9e-22   77.3   0.1   263   347   338   442   336   460 0.80 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   3  13   4.4e-21   1.2e-17   61.3   0.9   340   396   468   524   452   530 0.93 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   4  13   5.8e-17   1.6e-13   47.7   0.4   399   444   615   660   605   665 0.90 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   5  13   1.7e-69   4.8e-66  221.7   9.0   440   648   688   941   675   944 0.84 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   6  13   0.00029       0.8    5.6   0.0   640   682  1080  1124  1075  1137 0.80 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   7  13   1.2e-24   3.3e-21   73.1   3.8   706   759  1243  1296  1217  1309 0.81 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   8  13   1.5e-30   4.1e-27   92.7   0.1   761   833  1437  1509  1434  1538 0.91 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   9  13   3.1e-15   8.5e-12   42.0   0.1   844   894  1608  1664  1595  1692 0.80 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7  10  13   1.8e-75     5e-72  241.5  26.3   909  1149  1740  2029  1723  2035 0.85 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7  11  13   2.4e-33   6.6e-30  102.0   0.7  1145  1216  2061  2132  2049  2136 0.92 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
