#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   1   8    5e-105  1.1e-101  339.7  15.6     5   196    60   264    57   274 0.92 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   2   8   7.5e-82   1.6e-78  263.1   4.4   192   339   299   457   294   460 0.94 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   3   8     0.032        69   -0.1   0.0   319   347   545   573   537   581 0.78 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   4   8      0.43   9.5e+02   -3.8   0.4   348   363   649   664   627   674 0.69 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   5   8   1.1e-05     0.025   11.3   0.0   354   384   708   739   697   761 0.77 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   6   8   5.6e-18   1.2e-14   52.0   0.1   383   422   789   828   783   847 0.88 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   7   8   9.1e-97     2e-93  312.4  17.5   415   592   920  1098   914  1102 0.96 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461500.1-p1   -           1287 3678at5820           -            717         0 1104.6  84.7   8   8   9.2e-49     2e-45  153.7   7.9   577   717  1128  1287  1121  1287 0.90 | transcript=PVP01_1461500.1 | gene=PVP01_1461500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:2657383-2661395(+) | protein_length=1287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609400.1-p1   -            181 3678at5820           -            717   1.1e-07   29.0   0.8   1   1   6.7e-11   1.5e-07   28.6   0.8    86   159    78   153    65   160 0.87 | transcript=PVP01_0609400.1 | gene=PVP01_0609400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_06_v2:425893-426438(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 3678at5820           -            717      0.01   12.6   0.1   1   2      0.14   3.1e+02   -2.2   0.0    91   125    95   128    90   155 0.68 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 3678at5820           -            717      0.01   12.6   0.1   2   2   1.6e-05     0.034   10.8   0.0    78   147   181   250   168   255 0.83 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
