#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   1   7   6.4e-06    0.0088   12.6   0.2     1    34    35    72    35    80 0.87 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   2   7   3.1e-24   4.3e-21   73.2   0.3    29    88    92   164    82   175 0.81 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   3   7   1.4e-38   1.9e-35  120.6   2.4   100   206   274   400   264   403 0.86 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   4   7     2e-16   2.7e-13   47.4   0.3   192   229   416   453   410   466 0.82 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   5   7   7.3e-76     1e-72  243.9   7.3   228   371   486   629   481   637 0.98 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   6   7   2.3e-68   3.2e-65  219.1   9.4   372   482   748   859   741   863 0.97 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   7   7  3.3e-156  4.6e-153  509.5   2.4   481   755   911  1214   875  1214 0.89 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085880.1-p1      -           1860 2263at5820           -            755   2.7e-21   73.8  33.2   1   3      0.34   4.7e+02   -3.0   1.0    94   145   519   569   513   590 0.71 | transcript=PVX_085880.1 | gene=PVX_085880 | organism=Plasmodium_vivax_Sal-1 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=Pv_Sal1_chr13:1591108-1596690(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085880.1-p1      -           1860 2263at5820           -            755   2.7e-21   73.8  33.2   2   3    0.0073        10    2.5   0.2   161   196  1383  1420  1359  1425 0.82 | transcript=PVX_085880.1 | gene=PVX_085880 | organism=Plasmodium_vivax_Sal-1 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=Pv_Sal1_chr13:1591108-1596690(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085880.1-p1      -           1860 2263at5820           -            755   2.7e-21   73.8  33.2   3   3     2e-24   2.7e-21   73.8  33.2   273   642  1443  1799  1426  1843 0.68 | transcript=PVX_085880.1 | gene=PVX_085880 | organism=Plasmodium_vivax_Sal-1 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=Pv_Sal1_chr13:1591108-1596690(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 2263at5820           -            755   0.00052   16.7   0.6   1   1   5.5e-07   0.00075   16.1   0.6   175   245    73   144    68   160 0.87 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
