#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719512.1         -           1220 4469at5820           -            832         0 1207.6  88.5   1   2   1.3e-06    0.0017   15.3   5.0     1    81     1    89     1   104 0.63 | transcript=PVPAM_070012600_t1 | gene=PVPAM_070012600 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:419794-423456(+) | protein_length=1220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719512.1         -           1220 4469at5820           -            832         0 1207.6  88.5   2   2         0         0 1186.7  75.3    33   825   100  1208    86  1218 0.82 | transcript=PVPAM_070012600_t1 | gene=PVPAM_070012600 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:419794-423456(+) | protein_length=1220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722092.1         -            547 4469at5820           -            832   1.8e-39  134.3  15.7   1   1   2.4e-42   3.1e-39  133.5  15.7   158   383   265   503   244   516 0.85 | transcript=PVPAM_120033000_t1 | gene=PVPAM_120033000 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=CASCJQ010000012:1113658-1115301(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720426.1         -            372 4469at5820           -            832   6.5e-23   79.5  19.3   1   2      0.65   8.4e+02   -3.6   4.8   545   658    23    64     2    82 0.26 | transcript=PVPAM_090019100_t1 | gene=PVPAM_090019100 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000009:686780-689769(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720426.1         -            372 4469at5820           -            832   6.5e-23   79.5  19.3   2   2   5.1e-26   6.5e-23   79.5  19.3   148   388    86   336    62   354 0.82 | transcript=PVPAM_090019100_t1 | gene=PVPAM_090019100 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000009:686780-689769(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721069.1         -            738 4469at5820           -            832   1.1e-17   62.2  12.5   1   3       1.1   1.4e+03   -4.3   2.6    63    91   131   160    40   182 0.54 | transcript=PVPAM_100033700_t1 | gene=PVPAM_100033700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000010:1235445-1237661(-) | protein_length=738 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721069.1         -            738 4469at5820           -            832   1.1e-17   62.2  12.5   2   3     0.042        55    0.4   0.0   192   213   275   296   247   299 0.91 | transcript=PVPAM_100033700_t1 | gene=PVPAM_100033700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000010:1235445-1237661(-) | protein_length=738 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721069.1         -            738 4469at5820           -            832   1.1e-17   62.2  12.5   3   3   8.6e-21   1.1e-17   62.2  12.5   222   382   337   496   335   503 0.97 | transcript=PVPAM_100033700_t1 | gene=PVPAM_100033700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000010:1235445-1237661(-) | protein_length=738 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722149.1         -            620 4469at5820           -            832   1.2e-09   35.6   7.8   1   3      0.52   6.7e+02   -3.2   0.1   529   529    28    28     5    91 0.51 | transcript=PVPAM_120038700_t1 | gene=PVPAM_120038700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000012:1338721-1340862(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722149.1         -            620 4469at5820           -            832   1.2e-09   35.6   7.8   2   3   2.1e-08   2.7e-05   21.2   0.0   187   258   146   217   140   244 0.84 | transcript=PVPAM_120038700_t1 | gene=PVPAM_120038700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000012:1338721-1340862(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722149.1         -            620 4469at5820           -            832   1.2e-09   35.6   7.8   3   3   2.8e-07   0.00037   17.5   1.7   283   347   282   346   275   350 0.94 | transcript=PVPAM_120038700_t1 | gene=PVPAM_120038700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000012:1338721-1340862(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
