#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70517.1           -            587 6577at5820           -            410  4.1e-184  610.6  29.5   1   4  1.2e-105  9.2e-103  342.7   6.9     1   199     1   218     1   226 0.92 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO70517.1           -            587 6577at5820           -            410  4.1e-184  610.6  29.5   2   4   5.3e-08   4.2e-05   21.0   0.1   198   229   264   295   255   309 0.85 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO70517.1           -            587 6577at5820           -            410  4.1e-184  610.6  29.5   3   4   1.2e-13   9.8e-11   39.6   0.1   223   278   327   401   314   407 0.81 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO70517.1           -            587 6577at5820           -            410  4.1e-184  610.6  29.5   4   4   1.9e-65   1.5e-62  210.3   7.1   275   410   440   585   430   585 0.89 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO72326.1           -            170 6577at5820           -            410   7.4e-20   69.6   0.0   1   1     1e-22   7.9e-20   69.5   0.0     6   173     5   167     1   170 0.88 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO70501.1           -            262 6577at5820           -            410   1.5e-16   58.7   0.3   1   1   2.5e-19   1.9e-16   58.4   0.3     7   175    95   261    90   262 0.87 cyclophilin, putative [Plasmodium vivax]
SCO75405.1           -            276 6577at5820           -            410     8e-16   56.3   0.7   1   1   1.3e-18     1e-15   56.0   0.7     4   174    61   222    58   269 0.88 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO72643.1           -            193 6577at5820           -            410     1e-12   46.1   0.0   1   1   1.7e-15   1.3e-12   45.7   0.0     7   161    31   176    26   188 0.90 peptidyl-prolyl cis-trans isomerase 11, putative [Plasmodium vivax]
SCO74602.1           -            226 6577at5820           -            410   1.8e-12   45.3   0.0   1   1   2.8e-15   2.2e-12   45.0   0.0     7   177     8   175     4   218 0.88 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO73055.1           -            203 6577at5820           -            410   3.1e-10   37.9   0.0   1   2       1.8   1.4e+03   -3.8   0.4   281   308    11    38     6    40 0.58 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO73055.1           -            203 6577at5820           -            410   3.1e-10   37.9   0.0   2   2     4e-13   3.1e-10   37.9   0.0    91   162   110   182    53   199 0.88 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO72649.1           -            167 6577at5820           -            410   2.7e-07   28.3   0.1   1   1   8.1e-09   6.4e-06   23.7   0.1    21   163    12   139     2   162 0.73 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6577at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6577at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6577at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:51:05 2026
# [ok]
