#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090865.1-p1      -            491 5577at5820           -            435  4.9e-261  864.6  20.8   1   2  2.2e-153  1.7e-150  500.3   2.5     1   237     1   252     1   266 0.95 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090865.1-p1      -            491 5577at5820           -            435  4.9e-261  864.6  20.8   2   2  9.3e-114  7.4e-111  369.7  10.7   231   435   270   491   264   491 0.94 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 5577at5820           -            435   3.3e-28   97.4   0.1   1   2   3.2e-19   2.5e-16   58.2   0.0     9   246     9   249     1   263 0.72 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 5577at5820           -            435   3.3e-28   97.4   0.1   2   2   7.4e-13   5.8e-10   37.3   0.0   347   434   292   375   279   376 0.86 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 5577at5820           -            435   1.8e-27   94.9   0.0   1   2   5.9e-19   4.6e-16   57.4   0.0     4   247     5   250     3   283 0.73 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 5577at5820           -            435   1.8e-27   94.9   0.0   2   2   5.5e-12   4.3e-09   34.4   0.0   353   434   298   375   282   376 0.85 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 5577at5820           -            435   2.5e-27   94.5   2.0   1   2   1.3e-19   1.1e-16   59.5   0.8    81   198    83   198     8   267 0.70 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 5577at5820           -            435   2.5e-27   94.5   2.0   2   2   7.7e-12   6.1e-09   33.9   0.0   350   426   298   371   275   378 0.84 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 5577at5820           -            435   2.2e-25   88.1   0.1   1   2   1.3e-18     1e-15   56.2   0.0    99   209   134   244   129   247 0.92 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 5577at5820           -            435   2.2e-25   88.1   0.1   2   2   1.4e-10   1.1e-07   29.8   0.0   326   434   384   492   361   493 0.78 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097820.1-p1      -            600 5577at5820           -            435   6.3e-19   66.8  23.1   1   2   0.00012     0.096   10.2   0.4     2   106     4   122     3   143 0.73 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
