#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1245400.1-p1   -            326 9005at5820           -            283    5e-147  487.0  30.0   1   2   3.5e-05     0.021   12.4   0.2     1    19     1    19     1    25 0.92 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 9005at5820           -            283    5e-147  487.0  30.0   2   2  5.3e-147  3.1e-144  477.8  24.8    13   282    36   320    29   321 0.95 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 9005at5820           -            283     5e-53  178.5  71.4   1   5   1.2e-19   7.1e-17   59.9  10.3    21   100     8    89     2    91 0.88 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 9005at5820           -            283     5e-53  178.5  71.4   2   5   3.4e-14     2e-11   42.0  11.9    32    88    89   146    88   160 0.87 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 9005at5820           -            283     5e-53  178.5  71.4   3   5   1.5e-12   8.8e-10   36.6  15.1    26    98   156   230   149   232 0.90 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 9005at5820           -            283     5e-53  178.5  71.4   4   5     1e-10   6.1e-08   30.6   8.0    21    78   220   278   218   279 0.92 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 9005at5820           -            283     5e-53  178.5  71.4   5   5   1.4e-14   8.4e-12   43.3   7.6    36   110   259   336   258   342 0.91 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 9005at5820           -            283   2.8e-15   54.7  30.8   1   2   1.2e-13   7.1e-11   40.2  22.2    43   201   827   995   814  1009 0.85 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 9005at5820           -            283   2.8e-15   54.7  30.8   2   2   2.5e-06    0.0015   16.2   1.3    42   100  1262  1320  1252  1343 0.78 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 9005at5820           -            283   1.9e-11   42.1  18.3   1   2   1.7e-07    0.0001   20.1   1.3    36    74    36    74    24    75 0.89 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 9005at5820           -            283   1.9e-11   42.1  18.3   2   2   9.1e-12   5.4e-09   34.1   9.7    39   144    62   168    61   181 0.83 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 9005at5820           -            283   2.3e-10   38.6  24.8   1   1   6.9e-12   4.1e-09   34.4  24.4    21   212   154   356   149   365 0.87 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 9005at5820           -            283   5.4e-10   37.3   8.3   1   3   0.00072      0.43    8.1  16.0   135   181    44    93     5   109 0.58 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 9005at5820           -            283   5.4e-10   37.3   8.3   2   3       1.6   9.6e+02   -2.9   1.3    49    81   126   146    94   176 0.56 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 9005at5820           -            283   5.4e-10   37.3   8.3   3   3   9.1e-13   5.4e-10   37.3   8.3    19   114   244   342   229   353 0.81 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322900.1-p1   -            148 9005at5820           -            283   8.7e-07   26.8   8.0   1   1   3.5e-09   2.1e-06   25.6   7.6    36    97    12    73     6    80 0.88 | transcript=PVP01_1322900.1 | gene=PVP01_1322900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1036981-1037924(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 9005at5820           -            283   1.9e-06   25.7   0.4   1   1     8e-09   4.7e-06   24.4   0.4    65   129    14    81     9   102 0.83 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 9005at5820           -            283   8.4e-06   23.6   9.2   1   3   1.4e-08   8.4e-06   23.6   9.2   151   212    38   103    34   104 0.90 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 9005at5820           -            283   8.4e-06   23.6   9.2   2   3     0.047        28    2.2   0.7   152   209   108   166   100   173 0.76 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 9005at5820           -            283   8.4e-06   23.6   9.2   3   3       5.2   3.1e+03   -4.5   0.7   174   200   242   268   212   271 0.71 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
