#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67619.1           -            667 4540at5820           -            525         0 1102.4  12.7   1   2   4.7e-08   7.8e-06   23.1   0.4     1    36    26    61    26    80 0.79 RNA helicase 1, putative [Plasmodium vivax]
SCO67619.1           -            667 4540at5820           -            525         0 1102.4  12.7   2   2         0         0 1083.2   6.5     6   525   104   667   101   667 0.95 RNA helicase 1, putative [Plasmodium vivax]
SCO68991.1           -            528 4540at5820           -            525   1.2e-92  309.6   0.3   1   1   9.9e-95   1.6e-92  309.1   0.3    76   479    89   499    83   504 0.90 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO67714.1           -           1006 4540at5820           -            525   3.7e-87  291.5   0.1   1   1   5.5e-87   9.1e-85  283.6   0.1    87   468   569   978   546   983 0.88 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO69871.1           -            923 4540at5820           -            525   1.1e-79  266.8   4.5   1   1   1.3e-79   2.1e-77  259.3   4.5    92   471   331   755   318   765 0.83 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO67810.1           -           1450 4540at5820           -            525   1.1e-75  253.6   3.7   1   1   1.1e-77   1.8e-75  252.9   3.7    77   459   644  1033   591  1079 0.88 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO70027.1           -            717 4540at5820           -            525   6.9e-72  241.1   0.2   1   2     7e-12   1.2e-09   35.7   0.0    96   163   275   341   257   355 0.85 DNA helicase 60, putative [Plasmodium vivax]
SCO70027.1           -            717 4540at5820           -            525   6.9e-72  241.1   0.2   2   2   1.5e-62   2.5e-60  202.9   0.5   175   468   401   707   393   716 0.87 DNA helicase 60, putative [Plasmodium vivax]
SCO68088.1           -            599 4540at5820           -            525   7.4e-61  204.7   5.0   1   1   6.4e-63     1e-60  204.2   5.0    99   446   146   497   135   519 0.89 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO65570.1           -            536 4540at5820           -            525     1e-59  200.9   2.4   1   1     9e-62   1.5e-59  200.4   2.4   100   458   130   486   119   507 0.91 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO66253.1           -           1015 4540at5820           -            525     1e-57  194.3   0.9   1   1   8.7e-60   1.4e-57  193.8   0.9    93   469   617  1010   604  1014 0.85 DEAD/DEAH box helicase, putative [Plasmodium vivax]
