#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71669.1           -           1488 1709at5820           -            999         0 1644.8  78.5   1   7   4.3e-75   1.3e-71  240.1   3.7     1   143     3   164     3   169 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71669.1           -           1488 1709at5820           -            999         0 1644.8  78.5   2   7   3.9e-24   1.2e-20   71.4   0.3   143   192   318   367   306   382 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71669.1           -           1488 1709at5820           -            999         0 1644.8  78.5   3   7  3.7e-159  1.2e-155  518.3  16.6   207   502   413   746   390   753 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71669.1           -           1488 1709at5820           -            999         0 1644.8  78.5   4   7    9e-125  2.8e-121  404.5  11.4   501   741   821  1075   812  1080 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71669.1           -           1488 1709at5820           -            999         0 1644.8  78.5   5   7   9.9e-93   3.1e-89  298.4   6.8   738   901  1116  1290  1110  1295 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71669.1           -           1488 1709at5820           -            999         0 1644.8  78.5   6   7   3.8e-21   1.2e-17   61.5   0.6   900   940  1357  1397  1355  1401 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71669.1           -           1488 1709at5820           -            999         0 1644.8  78.5   7   7     5e-25   1.6e-21   74.3   0.0   938   988  1419  1472  1415  1486 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71875.1           -           1456 1709at5820           -            999   1.1e-10   38.5  72.5   1   5     0.011        36    0.3   0.0    55    76   129   150   127   156 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71875.1           -           1456 1709at5820           -            999   1.1e-10   38.5  72.5   2   5   1.5e-09   4.9e-06   23.1  27.2   193   461   232   514   179   524 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71875.1           -           1456 1709at5820           -            999   1.1e-10   38.5  72.5   3   5     1e-08   3.2e-05   20.3  15.5   566   689   831   951   822   978 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71875.1           -           1456 1709at5820           -            999   1.1e-10   38.5  72.5   4   5   2.2e-05     0.068    9.3   5.2   771   835  1107  1173  1099  1262 0.59 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71875.1           -           1456 1709at5820           -            999   1.1e-10   38.5  72.5   5   5     0.088   2.8e+02   -2.6   0.2   902   927  1324  1349  1319  1357 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1709at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1709at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1709at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:29 2026
# [ok]
