#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69990.1           -           1620 1124at5820           -           1191         0 2173.5 171.3   1   7  4.2e-147  3.7e-144  480.5  38.9     1   264     1   275     1   301 0.94 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO69990.1           -           1620 1124at5820           -           1191         0 2173.5 171.3   2   7   3.1e-44   2.7e-41  139.8  15.9   244   337   317   411   288   420 0.87 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO69990.1           -           1620 1124at5820           -           1191         0 2173.5 171.3   3   7         7   6.1e+03  -13.4  10.3   325   362   467   503   457   505 0.48 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO69990.1           -           1620 1124at5820           -           1191         0 2173.5 171.3   4   7  5.1e-124  4.5e-121  404.1  19.4   333   527   597   791   579   844 0.93 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO69990.1           -           1620 1124at5820           -           1191         0 2173.5 171.3   5   7   5.2e-30   4.5e-27   92.7   1.1   526   594   948  1018   935  1022 0.87 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO69990.1           -           1620 1124at5820           -           1191         0 2173.5 171.3   6   7   6.6e-11   5.8e-08   29.4   9.5   593   631  1053  1091  1046  1105 0.81 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO69990.1           -           1620 1124at5820           -           1191         0 2173.5 171.3   7   7         0         0 1069.9  38.9   595  1134  1084  1613  1083  1619 0.95 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO66932.1           -           1713 1124at5820           -           1191   3.8e-68  228.8  35.3   1   5   7.7e-24   6.7e-21   72.3   7.6    57   208    65   214    23   252 0.79 P-type ATPase, putative [Plasmodium vivax]
SCO66932.1           -           1713 1124at5820           -           1191   3.8e-68  228.8  35.3   2   5   3.5e-13     3e-10   37.0   3.0   358   519   342   532   327   544 0.73 P-type ATPase, putative [Plasmodium vivax]
SCO66932.1           -           1713 1124at5820           -           1191   3.8e-68  228.8  35.3   3   5      0.17   1.4e+02   -1.7   0.0   639   671   790   823   780   834 0.73 P-type ATPase, putative [Plasmodium vivax]
SCO66932.1           -           1713 1124at5820           -           1191   3.8e-68  228.8  35.3   4   5   4.5e-25   3.9e-22   76.4   3.8   677   846   934  1112   917  1139 0.81 P-type ATPase, putative [Plasmodium vivax]
SCO66932.1           -           1713 1124at5820           -           1191   3.8e-68  228.8  35.3   5   5   3.3e-19   2.9e-16   56.9   0.1   888  1033  1254  1400  1242  1428 0.77 P-type ATPase, putative [Plasmodium vivax]
SCO69952.1           -           1515 1124at5820           -           1191   1.4e-53  180.5  82.5   1   5   2.9e-08   2.6e-05   20.7  32.4    51   476    28   502     8   513 0.62 aminophospholipid-transporting P-ATPase, putative [Plasmodium vivax]
SCO69952.1           -           1515 1124at5820           -           1191   1.4e-53  180.5  82.5   2   5   1.9e-08   1.7e-05   21.3   0.1   477   510   617   650   596   672 0.85 aminophospholipid-transporting P-ATPase, putative [Plasmodium vivax]
SCO69952.1           -           1515 1124at5820           -           1191   1.4e-53  180.5  82.5   3   5     0.012        11    2.1   0.1   638   700   737   799   724   805 0.90 aminophospholipid-transporting P-ATPase, putative [Plasmodium vivax]
