#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472362.1         -           2011 760at5820            -           1541         0 2516.5  43.8   1   4   1.2e-22     1e-19   68.0   0.0     8    75    11    79     3    86 0.88 | transcript=PVW1_140053600_t1 | gene=PVW1_140053600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2115050-2121085(-) | protein_length=2011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472362.1         -           2011 760at5820            -           1541         0 2516.5  43.8   2   4  3.7e-188  3.2e-185  616.6   1.0    77   441   109   560    93   569 0.90 | transcript=PVW1_140053600_t1 | gene=PVW1_140053600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2115050-2121085(-) | protein_length=2011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472362.1         -           2011 760at5820            -           1541         0 2516.5  43.8   3   4   1.5e-85   1.3e-82  276.5   2.6   507   652   705   850   652   960 0.86 | transcript=PVW1_140053600_t1 | gene=PVW1_140053600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2115050-2121085(-) | protein_length=2011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472362.1         -           2011 760at5820            -           1541         0 2516.5  43.8   4   4         0         0 1562.4  25.9   650  1540   961  2010   943  2011 0.92 | transcript=PVW1_140053600_t1 | gene=PVW1_140053600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2115050-2121085(-) | protein_length=2011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483911.1         -           1726 760at5820            -           1541         0 1727.6 127.2   1   2  3.6e-129  3.2e-126  421.0  54.7     8   513    12   574     5   591 0.77 | transcript=PVW1_020010600_t1 | gene=PVW1_020010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:302787-307967(-) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483911.1         -           1726 760at5820            -           1541         0 1727.6 127.2   2   2         0         0 1298.1  67.6   478  1538   615  1724   565  1726 0.88 | transcript=PVW1_020010600_t1 | gene=PVW1_020010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:302787-307967(-) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477255.1         -            783 760at5820            -           1541   6.3e-13   45.5   4.4   1   3      0.15   1.3e+02   -1.9   0.2  1359  1388   471   501   464   536 0.84 | transcript=PVW1_090050700_t1 | gene=PVW1_090050700 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | transcript_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | location=CAJZCX010000007:2028651-2031311(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477255.1         -            783 760at5820            -           1541   6.3e-13   45.5   4.4   2   3   7.2e-16   6.3e-13   45.5   4.4   468   636   536   715   496   742 0.73 | transcript=PVW1_090050700_t1 | gene=PVW1_090050700 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | transcript_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | location=CAJZCX010000007:2028651-2031311(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477255.1         -            783 760at5820            -           1541   6.3e-13   45.5   4.4   3   3     0.025        22    0.7   0.0  1483  1518   742   778   724   782 0.86 | transcript=PVW1_090050700_t1 | gene=PVW1_090050700 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | transcript_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | location=CAJZCX010000007:2028651-2031311(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475479.1         -            918 760at5820            -           1541   2.7e-07   26.8   9.6   1   4     0.032        28    0.3   1.0    52   127   187   265   175   295 0.68 | transcript=PVW1_130015800_t1 | gene=PVW1_130015800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | transcript_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | location=CAJZCX010000006:491554-494310(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475479.1         -            918 760at5820            -           1541   2.7e-07   26.8   9.6   2   4      0.01       8.8    1.9   0.1  1009  1061   288   340   266   350 0.81 | transcript=PVW1_130015800_t1 | gene=PVW1_130015800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | transcript_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | location=CAJZCX010000006:491554-494310(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
