#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000750.1-p1      -            414 6709at5820           -            364  2.2e-196  650.2   8.3   1   1  4.1e-199  2.8e-196  649.8   8.3     1   364    11   414    11   414 0.94 | transcript=PVX_000750.1 | gene=PVX_000750 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr03:332386-334535(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 6709at5820           -            364   1.3e-14   52.1   0.0   1   1   2.9e-17     2e-14   51.5   0.0    60   351    72   364    34   373 0.76 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 6709at5820           -            364   4.5e-14   50.3   0.0   1   1   8.9e-17   6.2e-14   49.9   0.0   136   350   154   363    71   373 0.76 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 6709at5820           -            364   1.4e-13   48.8   0.1   1   2      0.53   3.7e+02   -2.0   0.0   229   245   375   391   342   402 0.70 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 6709at5820           -            364   1.4e-13   48.8   0.1   2   2   6.4e-16   4.4e-13   47.1   0.0   259   352   484   582   478   595 0.81 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 6709at5820           -            364   9.7e-13   45.9   0.0   1   1   1.8e-15   1.3e-12   45.6   0.0    74   359    78   370    54   375 0.78 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 6709at5820           -            364   1.1e-11   42.5   0.3   1   1   2.1e-14   1.4e-11   42.1   0.3    60   350    78   366    11   376 0.74 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 6709at5820           -            364   6.6e-07   26.8   2.2   1   2   5.9e-05     0.041   11.0   0.4   111   204   421   526   391   534 0.79 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 6709at5820           -            364   6.6e-07   26.8   2.2   2   2   3.4e-06    0.0023   15.1   0.1   257   306   757   806   727   851 0.80 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 6709at5820           -            364   6.1e-06   23.6   0.0   1   1   1.8e-08   1.2e-05   22.6   0.0   255   351   383   481   377   489 0.74 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6709at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6709at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6709at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:15 2026
# [ok]
