#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114330.1-p1      -            185 13550at5820          -            150   1.6e-85  282.9  12.3   1   1     1e-87     7e-85  280.8  12.3     1   150    22   185    22   185 0.93 | transcript=PVX_114330.1 | gene=PVX_114330 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:1060347-1062112(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 13550at5820          -            150   7.5e-21   72.9  42.1   1   5   0.00012     0.085   11.1   3.7    47   127   185   267   148   280 0.73 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 13550at5820          -            150   7.5e-21   72.9  42.1   2   5   0.00012     0.082   11.1   4.5    79   133   280   339   268   341 0.84 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 13550at5820          -            150   7.5e-21   72.9  42.1   3   5   1.4e-08   9.5e-06   23.9   6.5    74   131   340   398   334   401 0.91 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 13550at5820          -            150   7.5e-21   72.9  42.1   4   5   6.1e-09   4.2e-06   25.1   4.9    71   132   398   461   395   463 0.88 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 13550at5820          -            150   7.5e-21   72.9  42.1   5   5   1.6e-07   0.00011   20.4   0.8    73   143   462   537   459   541 0.82 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 13550at5820          -            150   2.2e-19   68.2  22.8   1   5   6.2e-06    0.0043   15.3   0.5    73   131    34    93    27    96 0.76 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 13550at5820          -            150   2.2e-19   68.2  22.8   2   5   1.4e-07   9.7e-05   20.7   3.6    71   129    93   152    90   156 0.93 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 13550at5820          -            150   2.2e-19   68.2  22.8   3   5   6.3e-07   0.00043   18.5   1.0    71   128   154   212   151   218 0.91 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 13550at5820          -            150   2.2e-19   68.2  22.8   4   5      0.16   1.1e+02    1.0   0.1    75   127   219   278   214   281 0.61 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 13550at5820          -            150   2.2e-19   68.2  22.8   5   5   5.4e-09   3.7e-06   25.2   0.3    74   129   286   341   278   347 0.90 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
