#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71299.1           -           1807 1041at5820           -           1351         0 2575.9  24.4   1   2         0         0 1501.5   9.6     2   737     6   906     5   959 0.90 helicase SRCAP, putative [Plasmodium vivax]
SCO71299.1           -           1807 1041at5820           -           1351         0 2575.9  24.4   2   2         0         0 1080.3   6.8   782  1350  1070  1767  1001  1772 0.96 helicase SRCAP, putative [Plasmodium vivax]
SCO72535.1           -           1396 1041at5820           -           1351  1.3e-121  405.8  22.7   1   5        10   6.3e+03   -8.1   6.0   310   353    31    83     3   126 0.32 chromatin remodeling protein, putative [Plasmodium vivax]
SCO72535.1           -           1396 1041at5820           -           1351  1.3e-121  405.8  22.7   2   5   1.3e-79   8.1e-77  257.3  13.0   298   683   202   600   171   609 0.75 chromatin remodeling protein, putative [Plasmodium vivax]
SCO72535.1           -           1396 1041at5820           -           1351  1.3e-121  405.8  22.7   3   5   2.5e-51   1.6e-48  163.6   2.1  1043  1207   616   781   610   790 0.94 chromatin remodeling protein, putative [Plasmodium vivax]
SCO72535.1           -           1396 1041at5820           -           1351  1.3e-121  405.8  22.7   4   5       6.4     4e+03   -6.7  17.7   226   352   797   927   775   966 0.45 chromatin remodeling protein, putative [Plasmodium vivax]
SCO72535.1           -           1396 1041at5820           -           1351  1.3e-121  405.8  22.7   5   5      0.45   2.8e+02   -2.9   3.0   155   232  1091  1165  1037  1275 0.73 chromatin remodeling protein, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   1   8         1   6.6e+02   -4.1  12.8   291   375   966  1047   954  1066 0.38 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   2   8   4.4e-56   2.8e-53  179.4  15.2   385   681  1378  1684  1236  1694 0.73 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   3   8   2.1e-42   1.4e-39  134.0   5.0  1041  1207  1699  1866  1687  1948 0.80 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   4   8        10   6.3e+03  -17.7  19.1   264   333  2028  2099  1910  2242 0.56 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   5   8       6.5   4.1e+03   -6.7   5.5   282   339  2335  2378  2320  2495 0.45 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   6   8        10   6.3e+03   -7.5   3.4   312   349  2727  2764  2698  2784 0.43 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   7   8       3.3   2.1e+03   -5.8   5.3   324   389  2992  3031  2932  3050 0.39 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO71610.1           -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   8   8       7.1   4.5e+03   -6.9   3.2   293   313  3192  3212  3149  3255 0.51 chromodomain-helicase-DNA-binding protein 1 homolog, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   1   8   7.7e-38   4.8e-35  118.9   0.2   376   573   334   532   236   548 0.75 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   2   8        10   6.3e+03  -39.7  67.5   176   363   863  1053   737  1074 0.48 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   3   8        10   6.3e+03   -7.5  14.3   183   260  1086  1165  1077  1172 0.76 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   4   8   8.4e-40   5.3e-37  125.4   2.0  1061  1197  1219  1356  1207  1398 0.85 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   5   8       3.1   1.9e+03   -5.7   7.9   201   258  1428  1491  1379  1511 0.64 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   6   8        10   6.3e+03  -34.7  37.5   243   288  1779  1824  1720  2083 0.55 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   7   8      0.55   3.4e+02   -3.2   5.3   172   209  2349  2386  2342  2425 0.61 SNF2 helicase, putative [Plasmodium vivax]
SCO73616.1           -           2948 1041at5820           -           1351   6.4e-69  231.2   6.7   8   8        10   6.3e+03   -9.4   6.6   320   334  2873  2887  2816  2940 0.41 SNF2 helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1041at5820           -           1351   1.1e-66  223.8  34.5   1   5       2.3   1.5e+03   -5.3   5.0   329   365    32    67     7    96 0.45 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1041at5820           -           1351   1.1e-66  223.8  34.5   2   5   3.1e-41     2e-38  130.2  15.2   295   573   119   413   108   424 0.68 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1041at5820           -           1351   1.1e-66  223.8  34.5   3   5   7.1e-07   0.00045   16.3   5.5   598   654   536   590   515   600 0.81 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1041at5820           -           1351   1.1e-66  223.8  34.5   4   5     0.038        24    0.7  10.8   921  1084   693   856   686   872 0.72 DNA helicase, putative [Plasmodium vivax]
SCO71322.1           -           1096 1041at5820           -           1351   1.1e-66  223.8  34.5   5   5     1e-33   6.4e-31  105.3   0.3  1088  1190   970  1072   965  1083 0.95 DNA helicase, putative [Plasmodium vivax]
SCO70512.1           -           1076 1041at5820           -           1351   7.5e-62  207.7  29.9   1   3   1.6e-39     1e-36  124.5   9.5   352   682    84   432    56   446 0.81 DNA repair and recombination protein RAD54, putative [Plasmodium vivax]
SCO70512.1           -           1076 1041at5820           -           1351   7.5e-62  207.7  29.9   2   3   1.2e-31   7.2e-29   98.5  12.4  1044  1210   532   695   529   780 0.85 DNA repair and recombination protein RAD54, putative [Plasmodium vivax]
SCO70512.1           -           1076 1041at5820           -           1351   7.5e-62  207.7  29.9   3   3        10   6.3e+03  -36.4  60.1   293   341   850   912   691  1056 0.71 DNA repair and recombination protein RAD54, putative [Plasmodium vivax]
SCO75747.1           -           1589 1041at5820           -           1351   2.5e-44  149.7  28.5   1   5   7.2e-11   4.5e-08   29.6   0.7   329   431   162   266   114   272 0.69 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1041at5820           -           1351   2.5e-44  149.7  28.5   2   5      0.01       6.3    2.6   0.7   442   503   372   430   369   446 0.79 DNA repair protein rhp16, putative [Plasmodium vivax]
SCO75747.1           -           1589 1041at5820           -           1351   2.5e-44  149.7  28.5   3   5       1.1   6.7e+02   -4.1   0.2   319   369   809   868   717   872 0.45 DNA repair protein rhp16, putative [Plasmodium vivax]
