#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085540.1-p1      -            136 14128at5820          -            118   8.2e-56  185.7   5.7   1   1   1.2e-56     4e-54  180.2   5.7     2   118     4   136     3   136 0.94 | transcript=PVX_085540.1 | gene=PVX_085540 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:1260591-1261001(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 14128at5820          -            118   3.7e-12   44.9   2.8   1   3     4e-05     0.013   14.1   0.0     4    37    38    71    35    82 0.87 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 14128at5820          -            118   3.7e-12   44.9   2.8   2   3    0.0091         3    6.5   0.0    44    76    61    93    61    97 0.90 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 14128at5820          -            118   3.7e-12   44.9   2.8   3   3   2.6e-09   8.5e-07   27.6   0.7    40   111    94   168    90   173 0.90 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 14128at5820          -            118   1.3e-10   39.9   1.4   1   2     1e-05    0.0034   16.0   0.0     5    45    28    68    24    74 0.91 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 14128at5820          -            118   1.3e-10   39.9   1.4   2   2   1.6e-07   5.1e-05   21.8   0.8    39   104    82   147    78   162 0.93 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 14128at5820          -            118   3.3e-10   38.6   0.6   1   3   1.7e-05    0.0055   15.3   0.0     6    34    13    41     6    51 0.89 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 14128at5820          -            118   3.3e-10   38.6   0.6   2   3     0.033        11    4.6   0.1    49    94    39    85    36    87 0.79 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 14128at5820          -            118   3.3e-10   38.6   0.6   3   3   5.2e-07   0.00017   20.1   0.1    44   116    71   146    65   148 0.80 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 14128at5820          -            118     3e-09   35.5   2.1   1   2   3.1e-06     0.001   17.6   0.1     2    42    15    55    14    68 0.89 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 14128at5820          -            118     3e-09   35.5   2.1   2   2   2.9e-06   0.00094   17.7   0.4    37   118    70   154    60   154 0.88 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 14128at5820          -            118   2.4e-08   32.6   0.1   1   2   0.00056      0.18   10.4   0.0     5    36    28    59    24    73 0.91 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 14128at5820          -            118   2.4e-08   32.6   0.1   2   2   4.6e-07   0.00015   20.3   0.1    38   105    81   148    76   163 0.87 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 14128at5820          -            118   8.1e-08   30.9   1.1   1   2    0.0012      0.39    9.3   0.2     9    58    21    70    11    89 0.80 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 14128at5820          -            118   8.1e-08   30.9   1.1   2   2   6.4e-07   0.00021   19.8   0.0    37   101   150   215   148   229 0.90 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 14128at5820          -            118     2e-07   29.6   0.7   1   2     4e-05     0.013   14.1   0.0     5    52    12    59     8    83 0.87 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 14128at5820          -            118     2e-07   29.6   0.7   2   2   5.1e-05     0.016   13.7   0.3    56   101   169   214   123   232 0.83 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 14128at5820          -            118   3.3e-05   22.4   5.0   1   4      0.45   1.5e+02    1.0   0.0     8    26    32    50    25    56 0.65 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 14128at5820          -            118   3.3e-05   22.4   5.0   2   4    0.0066       2.1    6.9   0.0     5    30    61    86    56    99 0.84 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 14128at5820          -            118   3.3e-05   22.4   5.0   3   4    0.0032         1    7.9   0.1     8    33   101   126    92   135 0.82 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 14128at5820          -            118   3.3e-05   22.4   5.0   4   4     0.015       4.8    5.8   0.0     3    26   137   160   135   174 0.80 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 14128at5820          -            118   7.3e-05   21.3   4.5   1   3      0.15        47    2.6   0.1    37    69    97   129    62   136 0.77 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 14128at5820          -            118   7.3e-05   21.3   4.5   2   3     0.011       3.4    6.3   0.1     8    28   384   404   377   454 0.79 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 14128at5820          -            118   7.3e-05   21.3   4.5   3   3   0.00034      0.11   11.0   0.1    55   115   461   522   443   525 0.79 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14128at5820          -            118   0.00035   19.1   2.8   1   4     0.012       3.8    6.1   0.1    50    78   370   398   364   403 0.80 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14128at5820          -            118   0.00035   19.1   2.8   2   4    0.0024      0.77    8.3   0.2     9    92   382   456   377   460 0.72 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14128at5820          -            118   0.00035   19.1   2.8   3   4     0.044        14    4.2   0.0     5    28   458   481   454   494 0.80 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14128at5820          -            118   0.00035   19.1   2.8   4   4       1.3   4.3e+02   -0.5   0.0    12    29   499   516   487   523 0.63 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001745.1-p1      -            130 14128at5820          -            118    0.0012   17.4   0.5   1   1   4.2e-06    0.0014   17.2   0.5    38   116    48   126     4   128 0.84 | transcript=PVX_001745.1 | gene=PVX_001745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:103638-104308(+) | protein_length=130 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101615.1-p1      -            368 14128at5820          -            118    0.0066   15.0   0.0   1   1   5.4e-05     0.018   13.6   0.0    56   102   254   300   243   310 0.89 | transcript=PVX_101615.1 | gene=PVX_101615 | organism=Plasmodium_vivax_Sal-1 | gene_product=variable surface protein Vir14-related | transcript_product=variable surface protein Vir14-related | location=Pv_Sal1_chr14:3099948-3101184(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 14128at5820          -            118    0.0088   14.6   3.1   1   2   7.4e-05     0.024   13.2   0.9    52    85    41    74    32   104 0.76 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
