#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114600.1-p1      -            282 10295at5820          -            222  1.5e-123  408.8  22.1   1   1    1e-122  6.1e-120  396.9  22.1     1   210    24   246    24   278 0.92 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   1   8   3.6e-19   2.2e-16   58.3   9.4    95   210    96   215    93   217 0.86 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   2   8   6.8e-11   4.2e-08   31.2   1.6   132   217   198   283   196   288 0.82 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   3   8   1.1e-17   6.5e-15   53.5   1.0   101   208   289   408   285   415 0.85 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   4   8    0.0008      0.49    8.1   0.1   160   193   661   697   652   709 0.79 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   5   8   1.7e-06     0.001   16.8   4.3    79   179   718   825   703   833 0.67 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   6   8   9.2e-07   0.00057   17.7   2.6   126   182   939   996   932  1007 0.82 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   7   8   2.3e-09   1.4e-06   26.2   9.4    85   172   958  1049   950  1067 0.80 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10295at5820          -            222     1e-49  167.3  60.1   8   8    0.0019       1.2    6.9   0.1   130   156  1086  1112  1057  1118 0.85 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 10295at5820          -            222   5.5e-39  132.2  34.1   1   3     1e-13   6.2e-11   40.5   5.4    94   192    32   132    27   134 0.89 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 10295at5820          -            222   5.5e-39  132.2  34.1   2   3   7.6e-19   4.7e-16   57.2   8.9    94   209    93   210    91   213 0.92 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
