#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   1   9   0.00013      0.41    6.8   0.0     2    25    13    36    12    43 0.92 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   2   9    0.0029       9.2    2.3   0.7    24    46   116   138   113   146 0.87 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   3   9   7.7e-07    0.0024   14.1   0.0    43    69   214   240   201   252 0.83 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   4   9     3e-29   9.5e-26   88.3   0.4    68   166   373   497   365   502 0.85 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   5   9   1.7e-14   5.5e-11   39.4   0.1   180   222   693   735   687   738 0.94 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   6   9   5.9e-05      0.19    7.9   0.0   219   235   776   792   772   801 0.88 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   7   9  4.6e-170  1.5e-166  554.5  20.1   236   538   851  1158   847  1161 0.97 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   8   9    8e-100   2.5e-96  322.0  11.8   537   743  1218  1457  1214  1462 0.89 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73202.1           -           1780 1229at5820           -           1016         0 1671.2  74.1   9   9  1.2e-199  3.8e-196  652.4   8.0   737  1016  1501  1780  1492  1780 0.98 phosphatidylinositol 3-kinase, putative [Plasmodium vivax]
SCO73254.1           -           1544 1229at5820           -           1016     9e-32  108.3   4.0   1   2      0.19     6e+02   -3.7   0.8   362   439   418   494   401   505 0.61 phosphatidylinositol 4-kinase, putative [Plasmodium vivax]
SCO73254.1           -           1544 1229at5820           -           1016     9e-32  108.3   4.0   2   2   2.9e-35     9e-32  108.3   4.0   721  1000  1252  1528  1235  1538 0.82 phosphatidylinositol 4-kinase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1229at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1229at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1229at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:17 2026
# [ok]
