#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091670.1-p1      -            289 10811at5820          -            241  5.8e-136  449.9  28.4   1   1  1.7e-138  7.2e-136  449.5  28.4     1   241     5   269     5   269 0.93 | transcript=PVX_091670.1 | gene=PVX_091670 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:707084-708763(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 10811at5820          -            241   1.5e-16   58.8  36.3   1   1   4.7e-18     2e-15   55.2  36.3    30   218    61   255     7   260 0.80 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113640.1-p1      -            284 10811at5820          -            241   1.9e-16   58.6  15.7   1   1   7.6e-19   3.2e-16   57.8  15.7    49   217    55   226    11   236 0.61 | transcript=PVX_113640.1 | gene=PVX_113640 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr11:1617899-1619565(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 10811at5820          -            241     2e-13   48.7  19.8   1   2       7.4   3.2e+03   -4.4   6.7   132   174   137   180   119   212 0.50 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 10811at5820          -            241     2e-13   48.7  19.8   2   2   4.6e-16     2e-13   48.7  19.8    89   221   245   369   186   377 0.79 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002745.1-p1      -            272 10811at5820          -            241   3.5e-13   47.9  14.5   1   1   8.2e-16   3.5e-13   47.9  14.5    92   228    94   232    36   238 0.66 | transcript=PVX_002745.1 | gene=PVX_002745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:235174-237527(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 10811at5820          -            241   6.1e-13   47.1  32.8   1   1   1.6e-14   6.9e-12   43.6  32.8    62   218   109   268    25   279 0.75 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 10811at5820          -            241   9.3e-13   46.5  11.8   1   2     0.089        38    1.9   0.1    40    67    16    42     9    52 0.76 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 10811at5820          -            241   9.3e-13   46.5  11.8   2   2   2.2e-15   9.3e-13   46.5  11.8    88   202    98   219    77   249 0.67 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 10811at5820          -            241     2e-12   45.4   5.8   1   2       2.3   9.9e+02   -2.7   1.4   148   188    10    50     3    58 0.59 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 10811at5820          -            241     2e-12   45.4   5.8   2   2   4.7e-15     2e-12   45.4   5.8    91   217    96   219    79   243 0.67 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 10811at5820          -            241   1.2e-10   39.5  13.8   1   1   1.2e-12     5e-10   37.5  13.8    92   214   303   415   299   425 0.67 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 10811at5820          -            241   2.2e-09   35.4   3.5   1   1   1.1e-11   4.5e-09   34.4   3.5    87   155   434   500   421   542 0.80 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10811at5820          -            241   1.5e-07   29.4  18.9   1   2       1.3   5.4e+02   -1.9   0.6    45    61   265   281   251   309 0.62 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10811at5820          -            241   1.5e-07   29.4  18.9   2   2   3.6e-10   1.5e-07   29.4  18.9    92   218   432   548   404   562 0.63 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 10811at5820          -            241   5.3e-07   27.6  13.3   1   2       1.5   6.6e+02   -2.2   5.0   140   187    23    71    13    82 0.50 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 10811at5820          -            241   5.3e-07   27.6  13.3   2   2   1.2e-09   5.3e-07   27.6  13.3    89   220   109   232    58   245 0.71 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094285.1-p1      -            220 10811at5820          -            241    0.0014   16.4   0.3   1   2      0.55   2.4e+02   -0.7   0.0    22    41    44    61    25    69 0.54 | transcript=PVX_094285.1 | gene=PVX_094285 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-h protein | transcript_product=Pv-fam-h protein | location=Pv_Sal1_chr08:102432-103266(-) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094285.1-p1      -            220 10811at5820          -            241    0.0014   16.4   0.3   2   2   1.3e-05    0.0054   14.5   0.1    27    66   164   203   138   209 0.87 | transcript=PVX_094285.1 | gene=PVX_094285 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-h protein | transcript_product=Pv-fam-h protein | location=Pv_Sal1_chr08:102432-103266(-) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10811at5820.hmm
