#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723554.1         -            430 8306at5820           -            317  7.3e-162  536.6  13.9   1   2   3.6e-36   1.3e-33  115.2   0.3     1    82     8   100     8   112 0.88 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 8306at5820           -            317  7.3e-162  536.6  13.9   2   2  1.8e-130  6.6e-128  425.0   8.1    88   317   191   430   180   430 0.94 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8306at5820           -            317   2.4e-12   45.3   8.7   1   4      0.72   2.6e+02   -0.8   0.0    38    55   146   161   140   201 0.79 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8306at5820           -            317   2.4e-12   45.3   8.7   2   4   4.1e-13   1.5e-10   39.5   2.1   178   255   286   362   275   369 0.90 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8306at5820           -            317   2.4e-12   45.3   8.7   3   4     0.052        19    3.0   0.1   194   217   387   410   359   426 0.66 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8306at5820           -            317   2.4e-12   45.3   8.7   4   4     0.017       6.1    4.6   0.0   175   210   423   454   412   460 0.74 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 8306at5820           -            317   3.3e-10   38.3   5.3   1   3      0.67   2.4e+02   -0.7   1.5    61    95   140   170   113   188 0.55 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 8306at5820           -            317   3.3e-10   38.3   5.3   2   3       1.5   5.5e+02   -1.8   0.0   194   210   205   221   177   226 0.83 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 8306at5820           -            317   3.3e-10   38.3   5.3   3   3   9.1e-13   3.3e-10   38.3   5.3   149   298   330   482   317   496 0.80 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8306at5820           -            317   8.2e-10   37.0   1.5   1   4         3   1.1e+03   -2.8   0.2   101   101    97    97    43   141 0.51 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8306at5820           -            317   8.2e-10   37.0   1.5   2   4    0.0078       2.8    5.7   1.8   100   190   204   298   180   321 0.69 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8306at5820           -            317   8.2e-10   37.0   1.5   3   4   2.3e-12   8.2e-10   37.0   1.5   140   254   434   546   425   559 0.90 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8306at5820           -            317   8.2e-10   37.0   1.5   4   4      0.13        45    1.7   0.6   179   221   558   601   544   636 0.61 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 8306at5820           -            317   1.1e-09   36.6   4.1   1   2      0.57   2.1e+02   -0.4   0.0   191   210   272   292   270   298 0.81 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 8306at5820           -            317   1.1e-09   36.6   4.1   2   2     6e-12   2.2e-09   35.6   2.2   137   300   339   519   314   529 0.77 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 8306at5820           -            317   3.2e-08   31.8   3.6   1   3       2.4   8.6e+02   -2.5   0.0   175   208   201   234   190   235 0.85 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 8306at5820           -            317   3.2e-08   31.8   3.6   2   3   4.2e-10   1.5e-07   29.6   1.0   178   255   325   402   314   415 0.92 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 8306at5820           -            317   3.2e-08   31.8   3.6   3   3   0.00034      0.12   10.2   1.2   179   247   370   449   368   454 0.77 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8306at5820           -            317   9.1e-08   30.3   3.0   1   4       1.2   4.3e+02   -1.5   0.0   223   250    19    47    16    57 0.67 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8306at5820           -            317   9.1e-08   30.3   3.0   2   4   4.8e-09   1.7e-06   26.1   0.3   172   257   105   190    86   213 0.80 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8306at5820           -            317   9.1e-08   30.3   3.0   3   4       1.2   4.3e+02   -1.5   0.0   198   210   217   229   205   241 0.81 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
