#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720109.1         -            160 12983at5820          -            142   1.3e-93  309.0   2.5   1   1   4.3e-96     2e-93  308.4   2.5     1   142     1   155     1   155 0.96 | transcript=PVPAM_080033100_t1 | gene=PVPAM_080033100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000008:1274470-1275087(-) | protein_length=160 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723432.1         -            164 12983at5820          -            142   3.1e-50  168.4   0.1   1   1   8.4e-53   3.9e-50  168.1   0.1     1   136     1   149     1   155 0.90 | transcript=PVPAM_140035400_t1 | gene=PVPAM_140035400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:1293037-1293836(+) | protein_length=164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722682.1         -            147 12983at5820          -            142   1.1e-34  118.0   0.1   1   1   2.6e-37   1.2e-34  117.9   0.1     9   126     9   129     1   141 0.94 | transcript=PVPAM_130018300_t1 | gene=PVPAM_130018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:601598-603216(+) | protein_length=147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720861.1         -            152 12983at5820          -            142   4.9e-27   93.2   0.0   1   1   1.3e-29   5.8e-27   93.0   0.0    19   124    23   128     4   144 0.92 | transcript=PVPAM_100012900_t1 | gene=PVPAM_100012900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=CASCJQ010000010:349551-350631(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721294.1         -            202 12983at5820          -            142   1.7e-26   91.5   0.1   1   1   4.9e-29   2.3e-26   91.0   0.1    14   128    25   140    13   152 0.88 | transcript=PVPAM_110019600_t1 | gene=PVPAM_110019600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000011:619877-621629(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719592.1         -            159 12983at5820          -            142   7.9e-24   82.8   0.0   1   1   2.1e-26   9.9e-24   82.5   0.0    26   126    37   139    17   146 0.90 | transcript=PVPAM_070020600_t1 | gene=PVPAM_070020600 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=CASCJQ010000007:727735-728625(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721569.1         -            152 12983at5820          -            142   3.4e-23   80.7   0.1   1   1   9.2e-26   4.3e-23   80.4   0.1    26   123    29   127    10   133 0.92 | transcript=PVPAM_110047400_t1 | gene=PVPAM_110047400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=CASCJQ010000011:1766059-1767359(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719651.1         -            163 12983at5820          -            142   4.3e-21   73.9   0.6   1   1   1.5e-22   6.9e-20   70.0   0.6    31   124    38   146    21   156 0.83 | transcript=PVPAM_070026500_t1 | gene=PVPAM_070026500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000007:948202-949547(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723788.1         -            150 12983at5820          -            142   1.2e-20   72.5   0.1   1   1     3e-23   1.4e-20   72.3   0.1    36   127    47   138    29   149 0.90 | transcript=PVPAM_140071100_t1 | gene=PVPAM_140071100 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=CASCJQ010000014:2811631-2812838(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719294.1         -            191 12983at5820          -            142   6.8e-18   63.6   0.1   1   1   2.1e-20   9.5e-18   63.1   0.1    33   128    37   134    27   154 0.88 | transcript=PVPAM_060030100_t1 | gene=PVPAM_060030100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000006:1030787-1032223(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 12983at5820          -            142   1.3e-15   56.2   0.8   1   1   6.3e-18   2.9e-15   55.0   0.8    33   109   190   267   168   278 0.91 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721905.1         -            262 12983at5820          -            142   1.8e-12   45.9   0.7   1   1   6.7e-15   3.1e-12   45.2   0.7    24   110   144   231   120   243 0.88 | transcript=PVPAM_120013900_t1 | gene=PVPAM_120013900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000012:367779-368567(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720245.1         -            139 12983at5820          -            142   2.8e-07   29.1   0.0   1   1     7e-10   3.2e-07   28.9   0.0    32   116    45   132    27   139 0.80 | transcript=PVPAM_080046800_t1 | gene=PVPAM_080046800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=CASCJQ010000008:1810676-1811529(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723771.1         -            624 12983at5820          -            142   3.3e-06   25.7   0.1   1   1   1.2e-08   5.6e-06   24.9   0.1    23   125   193   299   181   318 0.75 | transcript=PVPAM_140069400_t1 | gene=PVPAM_140069400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:2747070-2748944(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12983at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12983at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12983at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:23 2026
# [ok]
