#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478961.1         -            456 6278at5820           -            394    1e-248  823.3  20.1   1   2   5.1e-22   7.8e-19   66.4   8.3     5    54    30    80    27   100 0.83 | transcript=PVW1_080020700_t1 | gene=PVW1_080020700 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBP1] | transcript_product=Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBP1] | location=CAJZCX010000009:736724-738094(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478961.1         -            456 6278at5820           -            394    1e-248  823.3  20.1   2   2  1.6e-233  2.4e-230  762.8   4.1    49   394   109   454    97   454 0.98 | transcript=PVW1_080020700_t1 | gene=PVW1_080020700 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBP1] | transcript_product=Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBP1] | location=CAJZCX010000009:736724-738094(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474790.1         -            323 6278at5820           -            394   3.8e-65  218.9   1.8   1   1     3e-68   4.6e-65  218.6   1.8    93   377    43   321    28   323 0.94 | transcript=PVW1_100030400_t1 | gene=PVW1_100030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A564ZW25] | transcript_product=Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A564ZW25] | location=CAJZCX010000005:1197809-1199790(+) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485071.1         -            697 6278at5820           -            394   5.6e-62  208.4   5.9   1   3     0.004       6.1    4.2   0.1    63   117   158   215   125   218 0.70 | transcript=PVW1_010020500_t1 | gene=PVW1_010020500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:704899-706992(-) | protein_length=697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485071.1         -            697 6278at5820           -            394   5.6e-62  208.4   5.9   2   3   6.2e-35   9.4e-32  108.9   3.0   131   255   257   382   242   415 0.91 | transcript=PVW1_010020500_t1 | gene=PVW1_010020500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:704899-706992(-) | protein_length=697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485071.1         -            697 6278at5820           -            394   5.6e-62  208.4   5.9   3   3   1.6e-30   2.5e-27   94.4   0.0   247   387   548   692   530   696 0.90 | transcript=PVW1_010020500_t1 | gene=PVW1_010020500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:704899-706992(-) | protein_length=697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475684.1         -            639 6278at5820           -            394   1.1e-08   33.0   3.5   1   3   7.2e-12   1.1e-08   33.0   3.5    11    64     3    56     1    67 0.82 | transcript=PVW1_130023600_t1 | gene=PVW1_130023600 | organism=Plasmodium_vivax_PvW1 | gene_product=zf-C6H2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H346] | transcript_product=zf-C6H2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H346] | location=CAJZCX010000006:867069-868988(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475684.1         -            639 6278at5820           -            394   1.1e-08   33.0   3.5   2   3    0.0089        14    3.0   0.1   255   328   333   403   308   418 0.69 | transcript=PVW1_130023600_t1 | gene=PVW1_130023600 | organism=Plasmodium_vivax_PvW1 | gene_product=zf-C6H2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H346] | transcript_product=zf-C6H2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H346] | location=CAJZCX010000006:867069-868988(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475684.1         -            639 6278at5820           -            394   1.1e-08   33.0   3.5   3   3         1   1.6e+03   -3.8   0.2    39    61   535   557   528   607 0.53 | transcript=PVW1_130023600_t1 | gene=PVW1_130023600 | organism=Plasmodium_vivax_PvW1 | gene_product=zf-C6H2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H346] | transcript_product=zf-C6H2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H346] | location=CAJZCX010000006:867069-868988(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
