#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   1  12   4.7e-10   2.6e-06   23.3   0.2     1    26    35    60    35    66 0.93 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   2  12   1.6e-17   8.9e-14   48.0   0.4    27    75   213   264   208   267 0.88 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   3  12   1.9e-82     1e-78  263.3  11.3    75   259   422   622   391   634 0.91 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   4  12  1.6e-113  8.9e-110  366.3  18.4   258   471   782  1000   777  1003 0.97 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   5  12  9.4e-117  5.2e-113  377.1  18.1   470   719  1041  1330  1038  1354 0.87 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   6  12     2e-74   1.1e-70  236.7  10.4   686   841  1446  1605  1418  1619 0.85 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   7  12    3e-133  1.6e-129  431.8  11.1   825  1060  1821  2057  1817  2066 0.93 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   8  12    0.0001      0.56    5.6   0.0  1060  1089  2119  2149  2115  2166 0.84 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8   9  12     1e-88   5.6e-85  284.1  14.5  1085  1265  2269  2462  2246  2468 0.89 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8  10  12   9.4e-65   5.2e-61  204.6  22.4  1262  1438  2622  2860  2618  2867 0.83 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096110.1-p1      -           3314 1275at5820           -           1790         0 2811.8 210.8  11  12   1.1e-59   6.3e-56  187.8   8.9  1438  1547  2892  3001  2888  3005 0.98 | transcript=PVX_096110.1 | gene=PVX_096110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:758368-768986(-) | protein_length=3314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
