#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0415900.1-p1   -           2215 252at5820            -           1874         0 3094.5  74.4   1   1         0         0 3090.7  74.4     8  1874     7  2207     1  2207 0.93 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 252at5820            -           1874   3.5e-76  255.0 108.3   1   7   1.5e-14     2e-11   40.2  30.4   883  1404   247   816   239   825 0.65 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 252at5820            -           1874   3.5e-76  255.0 108.3   2   7   6.6e-18   8.6e-15   51.4  32.9   547  1142   555  1187   546  1193 0.71 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 252at5820            -           1874   3.5e-76  255.0 108.3   3   7    0.0028       3.7    2.9   0.1   550   597  1345  1394  1288  1417 0.74 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 252at5820            -           1874   3.5e-76  255.0 108.3   4   7   3.1e-17     4e-14   49.2   6.4   938  1160  1441  1664  1425  1693 0.77 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 252at5820            -           1874   3.5e-76  255.0 108.3   5   7   2.6e-07   0.00034   16.3   0.1   383  1789  1780  1877  1742  1886 0.54 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 252at5820            -           1874   3.5e-76  255.0 108.3   6   7   1.2e-23   1.6e-20   70.4  16.9   939  1177  2179  2441  2067  2497 0.73 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 252at5820            -           1874   3.5e-76  255.0 108.3   7   7   1.8e-17   2.4e-14   49.9   7.9  1631  1851  2463  2694  2434  2713 0.68 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 252at5820            -           1874   1.4e-14   50.7   0.1   1   3     0.001       1.3    4.3   0.0  1509  1606    61   151    54   163 0.70 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 252at5820            -           1874   1.4e-14   50.7   0.1   2   3   4.4e-09   5.7e-06   22.1   0.1  1666  1736   152   220   147   228 0.79 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 252at5820            -           1874   1.4e-14   50.7   0.1   3   3   7.9e-09     1e-05   21.3   0.0  1755  1839   306   393   300   411 0.80 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
