#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   1  10   1.9e-92   1.1e-88  296.6   2.1     1   163     1   180     1   189 0.90 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   2  10   2.2e-76   1.3e-72  243.5   0.7   162   292   256   386   252   389 0.97 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   3  10  5.5e-148  3.4e-144  480.5   4.6   292   508   438   666   435   669 0.95 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   4  10   5.6e-18   3.4e-14   50.0   1.1   505   549   755   799   739   824 0.89 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   5  10   5.8e-80   3.5e-76  255.3   0.4   538   694   831   994   817  1017 0.91 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   6  10     2e-49   1.2e-45  154.2   0.1   708   802  1220  1314  1213  1328 0.92 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   7  10   7.6e-15   4.6e-11   39.6   0.1   795   835  1396  1444  1389  1448 0.84 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   8  10   6.2e-56   3.7e-52  175.7   1.6   833   947  1482  1598  1475  1610 0.94 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3   9  10   1.5e-05      0.09    8.9   0.1   942   964  1642  1664  1639  1669 0.92 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485102.1         -           1907 958at5820            -           1125         0 1924.8  70.3  10  10   3.3e-81     2e-77  259.4   5.0   962  1125  1733  1907  1723  1907 0.92 | transcript=PVW1_010022000_t1 | gene=PVW1_010022000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:761530-768068(-) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/958at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/958at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/958at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:58 2026
# [ok]
