#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119515.1-p1      -           3759 240at5820            -           2846         0 3753.4  68.6   1   5  6.8e-183  9.2e-181  601.4  20.5     2   392     2   487     1   501 0.88 | transcript=PVX_119515.1 | gene=PVX_119515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1411242-1422746(+) | protein_length=3759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119515.1-p1      -           3759 240at5820            -           2846         0 3753.4  68.6   2   5   1.4e-52   1.9e-50  169.0  17.7   393   703   529   967   522   986 0.70 | transcript=PVX_119515.1 | gene=PVX_119515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1411242-1422746(+) | protein_length=3759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119515.1-p1      -           3759 240at5820            -           2846         0 3753.4  68.6   3   5    1e-187  1.4e-185  617.4   0.0   700  1401  1011  1978  1002  1982 0.75 | transcript=PVX_119515.1 | gene=PVX_119515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1411242-1422746(+) | protein_length=3759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119515.1-p1      -           3759 240at5820            -           2846         0 3753.4  68.6   4   5     8e-87   1.1e-84  282.6   0.0  1397  1578  2009  2299  2006  2314 0.95 | transcript=PVX_119515.1 | gene=PVX_119515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1411242-1422746(+) | protein_length=3759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119515.1-p1      -           3759 240at5820            -           2846         0 3753.4  68.6   5   5         0         0 2079.1  25.0  1586  2844  2365  3757  2351  3759 0.90 | transcript=PVX_119515.1 | gene=PVX_119515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1411242-1422746(+) | protein_length=3759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 240at5820            -           2846   4.3e-09   31.8  46.7   1   1   3.7e-11     5e-09   31.6  46.7  1171  1400    59   289    28   331 0.50 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085345.1-p1      -           1004 240at5820            -           2846   5.6e-08   28.1  28.0   1   2       4.6   6.3e+02   -5.3   3.2  1184  2142   404   446   379   470 0.39 | transcript=PVX_085345.1 | gene=PVX_085345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1120650-1123664(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085345.1-p1      -           1004 240at5820            -           2846   5.6e-08   28.1  28.0   2   2   4.1e-10   5.6e-08   28.1  28.0  1050  1310   487   767   479   806 0.39 | transcript=PVX_085345.1 | gene=PVX_085345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1120650-1123664(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 240at5820            -           2846   1.5e-05   20.1  34.8   1   5      0.47        63   -2.0   0.2  2513  2535    80   102    38   109 0.74 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 240at5820            -           2846   1.5e-05   20.1  34.8   2   5      0.39        52   -1.7  13.3  1138  1327   510   700   498   725 0.43 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 240at5820            -           2846   1.5e-05   20.1  34.8   3   5       2.7   3.6e+02   -4.5  62.2  1157  1351   634   840   626   862 0.35 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 240at5820            -           2846   1.5e-05   20.1  34.8   4   5   1.1e-07   1.5e-05   20.1  34.8  1251  1350  1050  1147   885  1162 0.69 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 240at5820            -           2846   1.5e-05   20.1  34.8   5   5       8.9   1.2e+03   -6.2  10.6   378   831  1440  1600  1390  1622 0.44 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 240at5820            -           2846   1.7e-05   19.8  41.4   1   1   1.3e-07   1.7e-05   19.8  41.4  1219  1386    86   255    15   278 0.47 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 240at5820            -           2846   9.4e-05   17.4  60.5   1   1   8.3e-07   0.00011   17.1  60.5  1191  1348    99   259    56   279 0.43 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 240at5820            -           2846   0.00012   17.0  40.7   1   3      0.78   1.1e+02   -2.7   9.0  1158  1319   104   167    15   193 0.48 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 240at5820            -           2846   0.00012   17.0  40.7   2   3    0.0033      0.44    5.2  23.9  1157  1295   349   477   250   491 0.36 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 240at5820            -           2846   0.00012   17.0  40.7   3   3     9e-07   0.00012   17.0  40.7  1128  1347   579   791   536   799 0.44 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 240at5820            -           2846   0.00012   17.0  37.8   1   2   1.9e-05    0.0025   12.6  15.0  1256  1343   214   300   184   329 0.54 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
