#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   1   9  1.5e-169  4.2e-166  553.3  19.9     1   272     1   273     1   281 0.98 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   2   9   3.3e-12   9.2e-09   32.7   0.4   263   295   349   381   341   387 0.89 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   3   9   1.4e-22   3.9e-19   67.0   6.8   295   363   534   605   530   610 0.80 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   4   9   5.8e-16   1.6e-12   45.1   6.1   318   381   614   678   610   707 0.85 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   5   9     0.018        50    0.5   0.1   377   405   810   842   805   852 0.64 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   6   9   3.9e-06     0.011   12.6   3.0   390   424   853   887   845   922 0.67 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   7   9   0.00034      0.93    6.2   0.1   421   441  1095  1115  1091  1118 0.88 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   8   9   0.00075       2.1    5.1   0.2   443   464  1206  1230  1182  1250 0.68 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   9   9  7.1e-285    2e-281  934.8  26.1   464   869  1263  1668  1260  1668 1.00 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091355.1-p1      -            372 1067at5820           -            869    0.0096   12.8  17.2   1   3     0.066   1.8e+02   -1.4   1.2   229   314     9    51     2    92 0.43 | transcript=PVX_091355.1 | gene=PVX_091355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:449909-452898(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091355.1-p1      -            372 1067at5820           -            869    0.0096   12.8  17.2   2   3   0.00011       0.3    7.8   0.1    76   130    93   147    60   154 0.83 | transcript=PVX_091355.1 | gene=PVX_091355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:449909-452898(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
