#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69352.1           -           1059 1687at5820           -            883     1e-41  141.5  13.8   1   3   4.9e-09   1.5e-05   21.8   0.4    72   224   114   239   111   244 0.81 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69352.1           -           1059 1687at5820           -            883     1e-41  141.5  13.8   2   3   5.5e-18   1.7e-14   51.4   0.2   233   317   308   395   306   399 0.90 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69352.1           -           1059 1687at5820           -            883     1e-41  141.5  13.8   3   3   1.1e-24   3.2e-21   73.6   2.4   345   485   489   629   472   693 0.81 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1687at5820           -            883   9.9e-30  101.8  53.9   1   6    0.0056        17    1.8   0.8   121   155   367   403   265   414 0.77 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1687at5820           -            883   9.9e-30  101.8  53.9   2   6   3.2e-18   9.7e-15   52.2  18.0   232   482   604   856   522   952 0.82 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1687at5820           -            883   9.9e-30  101.8  53.9   3   6         2   6.1e+03   -7.2   3.9   576   639  1252  1317  1223  1330 0.58 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1687at5820           -            883   9.9e-30  101.8  53.9   4   6   4.4e-17   1.3e-13   48.4   7.4   124   362  1406  1646  1400  1675 0.70 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1687at5820           -            883   9.9e-30  101.8  53.9   5   6   1.1e-12   3.2e-09   33.9  12.6   388   593  1761  1969  1740  1992 0.75 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1687at5820           -            883   9.9e-30  101.8  53.9   6   6      0.46   1.4e+03   -4.6   8.8    71   182  2220  2337  2165  2356 0.65 RNA helicase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1687at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1687at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1687at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:22 2026
# [ok]
