#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   1   9   3.6e-57   2.9e-54  182.8   0.0     1   162     1   206     1   214 0.81 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   2   9   1.1e-47   8.8e-45  151.4   0.0   169   266   261   367   250   374 0.90 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   3   9   4.8e-60   3.8e-57  192.4   0.0   270   398   449   586   444   596 0.92 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   4   9   1.1e-24   8.5e-22   75.3   0.1   396   448   612   664   609   676 0.90 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   5   9   2.8e-66   2.2e-63  213.0   4.1   455   593   709   872   704   874 0.92 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   6   9   2.9e-37   2.3e-34  116.9   1.1   591   719   951  1114   946  1120 0.83 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   7   9      0.71   5.6e+02   -3.5   0.0   716   735  1137  1157  1126  1157 0.80 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   8   9  7.1e-111  5.6e-108  360.6   2.3   735   938  1269  1476  1261  1495 0.96 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 1282at5820           -            992         0 1370.6  32.2   9   9   3.7e-28   2.9e-25   86.8   0.2   934   992  1537  1599  1532  1599 0.92 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 1282at5820           -            992   1.9e-11   41.1   0.0   1   4   4.2e-06    0.0033   13.8   0.0   340   412    11    88     2   102 0.74 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 1282at5820           -            992   1.9e-11   41.1   0.0   2   4   2.1e-07   0.00016   18.1   0.0   475   541   106   172   101   183 0.83 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 1282at5820           -            992   1.9e-11   41.1   0.0   3   4     0.024        19    1.3   0.0   368   411   206   257   201   264 0.75 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
