#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   1  40  1.2e-113  7.1e-110  366.1  32.3     1   246     1   267     1   273 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   2  40   1.6e-97   9.6e-94  312.5  34.6   245   457   414   637   409   644 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   3  40   3.9e-15   2.4e-11   39.0   2.0   464   502   742   780   722   789 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   4  40   0.00013      0.77    4.1   0.7   509   540  1015  1047  1011  1058 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   5  40     0.021   1.3e+02   -3.2   0.0   540   565  1144  1169  1135  1193 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   6  40   9.6e-73   5.8e-69  230.2   0.8   566   714  1252  1400  1214  1408 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   7  40     0.002        12    0.1   0.0   707   738  1446  1477  1431  1495 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   8  40     2e-08   0.00012   16.7   0.1   714   762  1494  1543  1487  1548 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4   9  40   1.4e-41   8.6e-38  126.8   5.6   768   869  1640  1745  1636  1764 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4  10  40   5.1e-91   3.1e-87  290.9  12.9   889  1101  1926  2160  1917  2189 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69624.1           -           8901 28at5820             -           4775         0 6189.1 674.4  11  40   3.6e-20   2.2e-16   55.7   9.4  1094  1176  2349  2454  2303  2462 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
