#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721203.1         -            534 5839at5820           -            397  1.9e-204  677.5  30.8   1   4      0.23   2.5e+02   -1.2   0.0     1    13    14    26    14    29 0.90 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 5839at5820           -            397  1.9e-204  677.5  30.8   2   4    4e-158  4.3e-155  515.0  10.5    12   281    63   340    53   344 0.95 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 5839at5820           -            397  1.9e-204  677.5  30.8   3   4   3.5e-41   3.8e-38  129.9   5.2   278   372   362   474   352   476 0.87 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 5839at5820           -            397  1.9e-204  677.5  30.8   4   4   3.2e-14   3.5e-11   41.1   0.1   357   397   491   534   488   534 0.84 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 5839at5820           -            397   4.2e-20   70.5   8.1   1   2   3.9e-23   4.2e-20   70.5   8.1    44   201    11   168     4   173 0.90 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 5839at5820           -            397   4.2e-20   70.5   8.1   2   2      0.64   6.9e+02   -2.7   0.9   226   276   309   357   301   390 0.62 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 5839at5820           -            397   1.7e-18   65.2   0.3   1   2   1.6e-21   1.7e-18   65.2   0.3    53   194     4   148     1   181 0.87 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 5839at5820           -            397   1.7e-18   65.2   0.3   2   2       1.1   1.2e+03   -3.5   0.0   261   293   306   339   296   347 0.67 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 5839at5820           -            397   4.2e-11   40.8  17.9   1   4   1.3e-10   1.4e-07   29.3   5.3    38   181   200   348   187   366 0.74 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 5839at5820           -            397   4.2e-11   40.8  17.9   2   4   1.8e-07   0.00019   18.9   0.1    25   123   642   751   613   761 0.75 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 5839at5820           -            397   4.2e-11   40.8  17.9   3   4      0.13   1.4e+02   -0.4   0.5   143   181   817   855   803   967 0.69 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
