#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1146800.1-p1   -           1384 1404at5820           -            988         0 1965.8  63.1   1   6      0.02        19    1.4   0.5     1    19     5    21     5    31 0.80 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1404at5820           -            988         0 1965.8  63.1   2   6     0.064        60   -0.3   0.3    14    34   116   144   113   149 0.76 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1404at5820           -            988         0 1965.8  63.1   3   6         0         0 1213.9  12.4    32   576   195   753   191   769 0.97 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1404at5820           -            988         0 1965.8  63.1   4   6     3e-35   2.8e-32  110.1   0.1   573   643   829   900   814   914 0.92 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1404at5820           -            988         0 1965.8  63.1   5   6   1.4e-81   1.3e-78  263.4  16.5   654   812   979  1141   948  1154 0.92 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1404at5820           -            988         0 1965.8  63.1   6   6  2.3e-122  2.1e-119  398.4   2.7   808   988  1204  1384  1203  1384 1.00 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1404at5820           -            988  1.8e-145  484.7  42.6   1   3   1.7e-71   1.6e-68  230.0   5.6    85   305   314   532   283   536 0.93 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1404at5820           -            988  1.8e-145  484.7  42.6   2   3   7.1e-60   6.6e-57  191.6  10.1   309   563   607   865   585   911 0.89 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1404at5820           -            988  1.8e-145  484.7  42.6   3   3   1.1e-24     1e-21   75.1  10.9   723   988  1131  1391  1079  1391 0.82 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1404at5820           -            988   1.2e-29  101.3  53.1   1   7     0.072        67   -0.4   6.5   520   616   182   282   158   303 0.80 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1404at5820           -            988   1.2e-29  101.3  53.1   2   7      0.11        99   -1.0   0.0    93   126   365   399   342   404 0.75 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1404at5820           -            988   1.2e-29  101.3  53.1   3   7     7e-05     0.065    9.5   2.5   135   275   528   689   512   717 0.64 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1404at5820           -            988   1.2e-29  101.3  53.1   4   7   4.3e-09     4e-06   23.5   9.8   293   596   680   991   671  1000 0.71 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1404at5820           -            988   1.2e-29  101.3  53.1   5   7   1.2e-13   1.1e-10   38.6   0.1   102   220  1411  1542  1390  1647 0.84 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1404at5820           -            988   1.2e-29  101.3  53.1   6   7   5.3e-16   4.9e-13   46.3   8.8   387   579  1775  1964  1743  1985 0.73 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1404at5820           -            988   1.2e-29  101.3  53.1   7   7      0.12   1.1e+02   -1.1   4.0   757   824  1935  2004  1890  2016 0.71 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1404at5820           -            988   2.1e-25   87.3   8.0   1   3   4.4e-11   4.1e-08   30.0   0.3   101   221   712   853   697   872 0.71 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1404at5820           -            988   2.1e-25   87.3   8.0   2   3   3.3e-15   3.1e-12   43.7   0.9   301   485   996  1177   981  1209 0.80 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
