#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67409.1           -            761 8314at5820           -            476  4.3e-201  667.4  71.5   1   6     1e-15   3.2e-12   44.6   1.8     1    31     1    31     1    36 0.96 serpentine receptor, putative [Plasmodium vivax]
SCO67409.1           -            761 8314at5820           -            476  4.3e-201  667.4  71.5   2   6   3.8e-33   1.1e-29  102.1   6.1    29    94    48   115    40   118 0.95 serpentine receptor, putative [Plasmodium vivax]
SCO67409.1           -            761 8314at5820           -            476  4.3e-201  667.4  71.5   3   6     1e-28   3.2e-25   87.5   1.0    91   155   130   202   121   209 0.86 serpentine receptor, putative [Plasmodium vivax]
SCO67409.1           -            761 8314at5820           -            476  4.3e-201  667.4  71.5   4   6   1.5e-30   4.7e-27   93.5   1.2   127   212   292   377   285   385 0.94 serpentine receptor, putative [Plasmodium vivax]
SCO67409.1           -            761 8314at5820           -            476  4.3e-201  667.4  71.5   5   6     5e-53   1.5e-49  167.7  12.3   204   345   405   563   387   565 0.86 serpentine receptor, putative [Plasmodium vivax]
SCO67409.1           -            761 8314at5820           -            476  4.3e-201  667.4  71.5   6   6   3.2e-63   9.6e-60  201.3  11.4   345   469   612   736   607   740 0.97 serpentine receptor, putative [Plasmodium vivax]
SCO67472.1           -            650 8314at5820           -            476   9.8e-27   92.5  39.2   1   3     0.039   1.2e+02   -0.1   3.0    37    93    75   125    68   164 0.72 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO67472.1           -            650 8314at5820           -            476   9.8e-27   92.5  39.2   2   3     0.019        58    0.9   2.2   148   212   221   287   204   306 0.78 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO67472.1           -            650 8314at5820           -            476   9.8e-27   92.5  39.2   3   3   3.2e-30   9.8e-27   92.5  39.2   205   472   326   628   296   632 0.71 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8314at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8314at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8314at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:05 2026
# [ok]
