#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087960.1-p1      -            252 11617at5820          -            175   9.6e-93  307.4  28.2   1   2   8.7e-33   1.6e-29  101.5   3.8     1    66    17    86    17    92 0.94 | transcript=PVX_087960.1 | gene=PVX_087960 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=Pv_Sal1_chr01:317699-318618(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087960.1-p1      -            252 11617at5820          -            175   9.6e-93  307.4  28.2   2   2   1.1e-66     2e-63  211.9  16.5    64   175   139   250   124   250 0.95 | transcript=PVX_087960.1 | gene=PVX_087960 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=Pv_Sal1_chr01:317699-318618(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 11617at5820          -            175   1.1e-32  111.8  15.4   1   4         3   5.5e+03   -7.5  14.6    95   151    89   146    52   176 0.56 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 11617at5820          -            175   1.1e-32  111.8  15.4   2   4      0.41   7.6e+02   -1.6   1.0    24    52   169   201   152   204 0.55 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 11617at5820          -            175   1.1e-32  111.8  15.4   3   4     6e-36   1.1e-32  111.8  15.4    63   174   360   471   341   472 0.95 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 11617at5820          -            175   1.1e-32  111.8  15.4   4   4       1.4   2.6e+03   -3.4   0.2     5    39   776   806   773   818 0.71 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 11617at5820          -            175   4.5e-23   80.5  22.4   1   4      0.52   9.6e+02   -2.0   6.7    92   161    82   146    63   153 0.76 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 11617at5820          -            175   4.5e-23   80.5  22.4   2   4     0.021        39    2.6   4.4    22    56   132   175   124   178 0.61 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 11617at5820          -            175   4.5e-23   80.5  22.4   3   4   2.4e-26   4.5e-23   80.5  22.4    65   169   254   358   248   364 0.94 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 11617at5820          -            175   4.5e-23   80.5  22.4   4   4         1   1.9e+03   -2.9   0.0    37    62   448   473   444   499 0.84 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11617at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11617at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11617at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:40 2026
# [ok]
