#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   1   8   4.3e-75   1.2e-71  240.1   3.7     1   143     3   164     3   169 0.89 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   2   8   4.3e-24   1.2e-20   71.2   0.3   143   192   318   367   309   382 0.91 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   3   8  8.9e-112  2.5e-108  361.5  16.8   207   410   413   637   391   642 0.90 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   4   8   7.5e-48   2.1e-44  149.9   1.3   411   502   662   754   659   764 0.95 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   5   8  8.9e-125  2.5e-121  404.5  11.4   501   741   829  1083   820  1087 0.94 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   6   8     1e-92   2.8e-89  298.4   6.8   738   901  1156  1330  1150  1335 0.93 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   7   8   3.9e-21   1.1e-17   61.5   0.6   900   940  1369  1409  1367  1413 0.95 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 1709at5820           -            999         0 1631.8  87.3   8   8   5.1e-25   1.4e-21   74.3   0.0   938   988  1431  1484  1427  1498 0.88 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099040.1-p1      -           1459 1709at5820           -            999   9.5e-11   38.5  72.5   1   5     0.011        30    0.4   0.0    55    76   129   150   127   158 0.89 | transcript=PVX_099040.1 | gene=PVX_099040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:466666-471045(-) | protein_length=1459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099040.1-p1      -           1459 1709at5820           -            999   9.5e-11   38.5  72.5   2   5   1.6e-09   4.5e-06   23.0  27.2   193   461   232   514   179   524 0.68 | transcript=PVX_099040.1 | gene=PVX_099040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:466666-471045(-) | protein_length=1459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099040.1-p1      -           1459 1709at5820           -            999   9.5e-11   38.5  72.5   3   5     1e-08   2.8e-05   20.3  15.5   566   689   831   951   822   978 0.89 | transcript=PVX_099040.1 | gene=PVX_099040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:466666-471045(-) | protein_length=1459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
