#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092230.1-p1      -           1392 2584at5820           -            782         0 1082.1  86.9   1   7     4e-44   1.1e-40  137.9   7.1     7    92    39   137    27   161 0.83 | transcript=PVX_092230.1 | gene=PVX_092230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1196495-1200673(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092230.1-p1      -           1392 2584at5820           -            782         0 1082.1  86.9   2   7   7.7e-26   2.1e-22   77.4   0.6    99   168   267   336   249   344 0.85 | transcript=PVX_092230.1 | gene=PVX_092230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1196495-1200673(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092230.1-p1      -           1392 2584at5820           -            782         0 1082.1  86.9   3   7   9.2e-97   2.6e-93  311.9   2.8   162   339   446   628   442   633 0.96 | transcript=PVX_092230.1 | gene=PVX_092230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1196495-1200673(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092230.1-p1      -           1392 2584at5820           -            782         0 1082.1  86.9   4   7   3.3e-58   9.2e-55  184.4  22.8   336   478   676   842   664   848 0.85 | transcript=PVX_092230.1 | gene=PVX_092230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1196495-1200673(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092230.1-p1      -           1392 2584at5820           -            782         0 1082.1  86.9   5   7   5.8e-42   1.6e-38  130.7   9.1   483   585   884   988   880   994 0.96 | transcript=PVX_092230.1 | gene=PVX_092230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1196495-1200673(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092230.1-p1      -           1392 2584at5820           -            782         0 1082.1  86.9   6   7   2.5e-29   6.8e-26   89.0   3.7   568   657  1059  1159  1032  1167 0.76 | transcript=PVX_092230.1 | gene=PVX_092230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1196495-1200673(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092230.1-p1      -           1392 2584at5820           -            782         0 1082.1  86.9   7   7   3.9e-56   1.1e-52  177.6   0.0   653   782  1253  1382  1251  1382 0.99 | transcript=PVX_092230.1 | gene=PVX_092230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1196495-1200673(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003935.1-p1      -           1025 2584at5820           -            782   8.4e-06   22.5   4.4   1   4         2   5.5e+03   -9.6   9.5     8    63    36    90    31   108 0.74 | transcript=PVX_003935.1 | gene=PVX_003935 | organism=Plasmodium_vivax_Sal-1 | gene_product=amine transporter, putative | transcript_product=amine transporter, putative | location=Pv_Sal1_chr04:482067-486311(+) | protein_length=1025 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003935.1-p1      -           1025 2584at5820           -            782   8.4e-06   22.5   4.4   2   4     3e-09   8.4e-06   22.5   4.4   232   350   355   474   345   488 0.74 | transcript=PVX_003935.1 | gene=PVX_003935 | organism=Plasmodium_vivax_Sal-1 | gene_product=amine transporter, putative | transcript_product=amine transporter, putative | location=Pv_Sal1_chr04:482067-486311(+) | protein_length=1025 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003935.1-p1      -           1025 2584at5820           -            782   8.4e-06   22.5   4.4   3   4         2   5.5e+03  -14.8  44.3   357   642   531   832   512   852 0.65 | transcript=PVX_003935.1 | gene=PVX_003935 | organism=Plasmodium_vivax_Sal-1 | gene_product=amine transporter, putative | transcript_product=amine transporter, putative | location=Pv_Sal1_chr04:482067-486311(+) | protein_length=1025 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003935.1-p1      -           1025 2584at5820           -            782   8.4e-06   22.5   4.4   4   4   1.3e-05     0.036   10.5   6.4   581   644   865   923   823   964 0.77 | transcript=PVX_003935.1 | gene=PVX_003935 | organism=Plasmodium_vivax_Sal-1 | gene_product=amine transporter, putative | transcript_product=amine transporter, putative | location=Pv_Sal1_chr04:482067-486311(+) | protein_length=1025 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
