#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   1   8  7.9e-252  1.1e-249  830.2  77.3     1   538     1   705     1   740 0.91 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   2   8  1.1e-233  1.5e-231  770.1  18.4   530   903   763  1157   753  1172 0.95 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   3   8  1.8e-209  2.6e-207  689.8   8.8   909  1238  1254  1592  1229  1598 0.88 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   4   8  8.8e-139  1.3e-136  455.3   5.8  1236  1474  1652  1908  1627  1962 0.84 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   5   8   5.2e-61   7.4e-59  197.4   0.2  1475  1610  2024  2179  1973  2284 0.74 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   6   8   1.6e-13   2.4e-11   39.9  43.3  1601  1761  2303  2461  2261  2474 0.50 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   7   8  4.7e-172  6.7e-170  565.7  71.1  1696  2166  2447  2931  2436  2932 0.68 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   8   8       2.1   3.1e+02   -3.6  81.9  2054  2166  2889  3005  2886  3006 0.47 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 518at5820            -           2167   3.8e-06   22.6  19.9   1   1   3.6e-08   5.2e-06   22.1  19.9  1638  1784   169   320    59   371 0.45 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722940.1         -            490 518at5820            -           2167   1.5e-05   20.6  47.2   1   2   1.1e-07   1.5e-05   20.6  47.2  1556  1795     4   240     2   271 0.41 | transcript=PVPAM_130044200_t1 | gene=PVPAM_130044200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=CASCJQ010000013:1699269-1700741(-) | protein_length=490 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722940.1         -            490 518at5820            -           2167   1.5e-05   20.6  47.2   2   2       0.6        87   -1.8   8.9  1596  1678   358   439   294   447 0.67 | transcript=PVPAM_130044200_t1 | gene=PVPAM_130044200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=CASCJQ010000013:1699269-1700741(-) | protein_length=490 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
