#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1412500.1-p1   -            420 6354at5820           -            285  8.1e-200  660.5   2.4   1   1  3.4e-202  9.8e-200  660.2   2.4     1   285     8   295     8   295 0.99 | transcript=PVP01_1412500.1 | gene=PVP01_1412500 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=PvP01_14_v2:550653-552145(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 6354at5820           -            285   5.2e-70  234.6   0.1   1   2   4.1e-37   1.2e-34  118.6   0.0   144   277   198   332   193   339 0.90 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 6354at5820           -            285   5.2e-70  234.6   0.1   2   2   1.2e-35   3.5e-33  113.7   0.0    99   285   432   613   413   613 0.91 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466000.1-p1   -            424 6354at5820           -            285   9.4e-66  220.6   0.2   1   1   4.4e-68   1.2e-65  220.2   0.2    83   285    99   300    52   300 0.94 | transcript=PVP01_1466000.1 | gene=PVP01_1466000 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=PvP01_14_v2:2814369-2815643(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 6354at5820           -            285   2.1e-64  216.2   0.0   1   2   6.8e-38   1.9e-35  121.1   0.0   144   280   468   604   464   609 0.93 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 6354at5820           -            285   2.1e-64  216.2   0.0   2   2     3e-29   8.6e-27   92.7   0.0   146   284   790   926   775   927 0.90 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931200.1-p1   -            441 6354at5820           -            285   1.7e-56  190.2   0.1   1   1   9.7e-59   2.7e-56  189.5   0.1   106   285   142   321   116   321 0.97 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407300.1-p1   -            393 6354at5820           -            285   4.3e-56  188.9   1.0   1   1   1.9e-58   5.5e-56  188.5   1.0    80   285    59   270     5   270 0.88 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808100.1-p1   -            447 6354at5820           -            285   1.6e-55  187.0   0.0   1   1   8.5e-58   2.4e-55  186.4   0.0   111   285   151   325   120   325 0.91 | transcript=PVP01_0808100.1 | gene=PVP01_0808100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=PvP01_08_v2:362144-363776(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520100.1-p1   -            392 6354at5820           -            285   4.6e-55  185.5   0.0   1   1   2.4e-57   6.8e-55  185.0   0.0    96   285    82   271    47   271 0.94 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6354at5820           -            285   8.9e-31  105.8   1.0   1   4       4.3   1.2e+03   -2.9   0.0   219   270   248   301   244   302 0.72 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
