#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   1  12  2.8e-206  8.5e-203  674.7  27.7     1   302     1   305     1   311 0.98 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   2  12     4e-15   1.2e-11   41.7   0.4   302   345   368   417   336   421 0.82 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   3  12  4.3e-157  1.3e-153  511.8  19.5   344   568   477   701   474   717 0.97 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   4  12   7.9e-09   2.4e-05   20.8   1.9   565   612   749   800   744   814 0.82 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   5  12   3.6e-06     0.011   12.0   1.0   593   630   831   868   819   884 0.87 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   6  12   2.9e-08   8.7e-05   19.0   4.0   632   685   935   996   892  1036 0.72 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   7  12   1.1e-21   3.3e-18   63.4   6.0   662   767  1201  1331  1113  1352 0.76 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   8  12   3.5e-28   1.1e-24   84.9   5.9   772   843  1621  1691  1580  1709 0.77 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4   9  12     0.071   2.2e+02   -2.2   0.0   830   859  1712  1740  1700  1751 0.75 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4  10  12   5.7e-07    0.0017   14.7   0.0   854   897  1759  1805  1745  1818 0.74 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472384.1         -           2146 1010at5820           -           1125         0 1724.3 141.4  11  12   2.5e-60   7.5e-57  191.4   8.9   881  1022  1821  1969  1811  1982 0.85 | transcript=PVW1_140055900_t1 | gene=PVW1_140055900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2214764-2221676(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
