#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482372.1         -            330 8180at5820           -            296  2.7e-184  609.6   6.5   1   1  5.6e-187  3.8e-184  609.1   6.5     1   296     1   328     1   328 0.97 | transcript=PVW1_040013100_t1 | gene=PVW1_040013100 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSK0] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSK0] | location=CAJZCX010000013:382794-383786(-) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473662.1         -            344 8180at5820           -            296   1.8e-55  186.6   1.2   1   1   3.7e-58   2.5e-55  186.2   1.2     4   260    13   279    10   295 0.81 | transcript=PVW1_120058400_t1 | gene=PVW1_120058400 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZZI7] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZZI7] | location=CAJZCX010000004:2238900-2240368(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472484.1         -            336 8180at5820           -            296   9.4e-47  158.0   3.2   1   1   2.9e-49     2e-46  157.0   3.2     6   226    18   241    13   287 0.85 | transcript=PVW1_140065300_t1 | gene=PVW1_140065300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5N4] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5N4] | location=CAJZCX010000003:2637683-2639065(+) | protein_length=336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476666.1         -            349 8180at5820           -            296   3.9e-22   77.2   0.4   1   2   5.8e-25   3.9e-22   77.2   0.4     6   165     2   181     1   197 0.77 | transcript=PVW1_090016400_t1 | gene=PVW1_090016400 | organism=Plasmodium_vivax_PvW1 | gene_product=Replication factor C subunit 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCH6] | transcript_product=Replication factor C subunit 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCH6] | location=CAJZCX010000007:576465-577514(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476666.1         -            349 8180at5820           -            296   3.9e-22   77.2   0.4   2   2      0.29     2e+02   -0.6   0.6   135   273   288   319   244   341 0.59 | transcript=PVW1_090016400_t1 | gene=PVW1_090016400 | organism=Plasmodium_vivax_PvW1 | gene_product=Replication factor C subunit 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCH6] | transcript_product=Replication factor C subunit 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCH6] | location=CAJZCX010000007:576465-577514(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482347.1         -            945 8180at5820           -            296   9.8e-10   36.5   4.7   1   2   6.6e-05     0.044   11.4   0.1     3    30   393   420   391   425 0.89 | transcript=PVW1_040011800_t1 | gene=PVW1_040011800 | organism=Plasmodium_vivax_PvW1 | gene_product=Replication factor C subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7Z0] | transcript_product=Replication factor C subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7Z0] | location=CAJZCX010000013:340959-343796(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482347.1         -            945 8180at5820           -            296   9.8e-10   36.5   4.7   2   2   2.3e-09   1.5e-06   26.0   1.2    33   210   449   624   436   646 0.75 | transcript=PVW1_040011800_t1 | gene=PVW1_040011800 | organism=Plasmodium_vivax_PvW1 | gene_product=Replication factor C subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7Z0] | transcript_product=Replication factor C subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7Z0] | location=CAJZCX010000013:340959-343796(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476738.1         -            905 8180at5820           -            296   0.00015   19.5   0.0   1   2    0.0034       2.3    5.8   0.0     8    57   198   250   194   269 0.74 | transcript=PVW1_090022000_t1 | gene=PVW1_090022000 | organism=Plasmodium_vivax_PvW1 | gene_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | transcript_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | location=CAJZCX010000007:784531-787860(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476738.1         -            905 8180at5820           -            296   0.00015   19.5   0.0   2   2   9.8e-05     0.066   10.8   0.0    15    64   612   661   605   711 0.83 | transcript=PVW1_090022000_t1 | gene=PVW1_090022000 | organism=Plasmodium_vivax_PvW1 | gene_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | transcript_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | location=CAJZCX010000007:784531-787860(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 8180at5820           -            296    0.0029   15.3   0.4   1   2   1.3e-05    0.0086   13.7   0.0    31    64   341   376   314   390 0.75 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 8180at5820           -            296    0.0029   15.3   0.4   2   2       1.3     9e+02   -2.8   0.2   140   190   469   519   459   535 0.80 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
