#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   1  12   3.1e-18   1.9e-14   51.0   3.3     1    63     1    68     1    72 0.86 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   2  12   1.2e-37   7.2e-34  115.2   0.1    58   151   109   202    98   211 0.94 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   3  12   2.5e-57   1.5e-53  180.4  12.6   137   249   233   346   213   356 0.92 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   4  12   4.2e-32   2.6e-28   96.9   0.3   249   334   412   518   405   521 0.85 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   5  12   3.3e-50     2e-46  156.8   3.4   341   460   596   719   576   739 0.89 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   6  12   2.1e-27   1.3e-23   81.3   7.7   453   536   778   860   747   865 0.76 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   7  12   8.3e-10     5e-06   23.1   0.1   533   576   949  1000   944  1011 0.82 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   8  12   3.7e-74   2.3e-70  236.1  16.8   567   724  1229  1390  1220  1399 0.94 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8   9  12   4.7e-39   2.8e-35  119.9   0.2   727   825  1476  1576  1470  1584 0.92 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8  10  12   0.00023       1.4    5.0   0.0   829   853  1680  1704  1673  1708 0.89 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8  11  12   2.8e-42   1.7e-38  130.5  10.5   852   950  1740  1839  1738  1850 0.94 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480516.1         -           1950 2274at5820           -           1023         0 1254.4 124.8  12  12   1.2e-34   7.1e-31  105.3   3.9   952  1023  1867  1949  1851  1949 0.89 | transcript=PVW1_070021400_t1 | gene=PVW1_070021400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:758612-764464(+) | protein_length=1950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2274at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2274at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2274at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:05 2026
# [ok]
