#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73758.1           -            284 9900at5820           -            237  4.8e-148  489.5  22.9   1   1  1.1e-150  6.2e-148  489.2  22.9    10   237    31   277    24   277 0.98 palmitoyltransferase, putative [Plasmodium vivax]
SCO71649.1           -            281 9900at5820           -            237     2e-33  114.3   9.0   1   1   4.9e-36   2.8e-33  113.9   8.2    33   232    58   272    26   276 0.81 palmitoyltransferase, putative [Plasmodium vivax]
SCO73057.1           -            437 9900at5820           -            237   1.9e-26   91.5  20.7   1   1   3.4e-29   1.9e-26   91.5  20.7    68   233   244   413   155   417 0.79 palmitoyltransferase, putative [Plasmodium vivax]
SCO72645.1           -            294 9900at5820           -            237   2.7e-25   87.7  12.9   1   2   4.7e-28   2.7e-25   87.7  12.9    40   222    52   251    10   262 0.73 palmitoyltransferase, putative [Plasmodium vivax]
SCO72645.1           -            294 9900at5820           -            237   2.7e-25   87.7  12.9   2   2       2.4   1.4e+03   -2.9   0.1   192   204   267   279   265   283 0.86 palmitoyltransferase, putative [Plasmodium vivax]
SCO71031.1           -            272 9900at5820           -            237   2.6e-20   71.4  17.7   1   1   8.9e-23   5.1e-20   70.5  17.6    62   192    84   222    14   257 0.70 palmitoyltransferase, putative [Plasmodium vivax]
SCO75303.1           -           1010 9900at5820           -            237   1.9e-18   65.3  20.5   1   2       3.1   1.8e+03   -3.3   3.5   107   161    31    89    13   111 0.57 palmitoyltransferase, putative [Plasmodium vivax]
SCO75303.1           -           1010 9900at5820           -            237   1.9e-18   65.3  20.5   2   2   3.3e-21   1.9e-18   65.3  20.5    54   210   121   290   104   300 0.81 palmitoyltransferase, putative [Plasmodium vivax]
SCO75291.1           -            297 9900at5820           -            237   3.1e-14   51.5  29.5   1   2      0.48   2.8e+02   -0.7   5.0    26    56    68    98    34   104 0.49 palmitoyltransferase, putative [Plasmodium vivax]
SCO75291.1           -            297 9900at5820           -            237   3.1e-14   51.5  29.5   2   2   9.7e-17   5.6e-14   50.7  26.9    30   196    72   260    50   268 0.67 palmitoyltransferase, putative [Plasmodium vivax]
SCO72475.1           -            611 9900at5820           -            237   5.7e-14   50.7  18.2   1   2       8.2   4.7e+03   -4.7   2.3   119   124   279   284   245   319 0.45 palmitoyltransferase, putative [Plasmodium vivax]
SCO72475.1           -            611 9900at5820           -            237   5.7e-14   50.7  18.2   2   2     1e-16   5.7e-14   50.7  18.2    69   195   429   545   418   567 0.76 palmitoyltransferase, putative [Plasmodium vivax]
SCO72696.1           -            289 9900at5820           -            237   2.4e-12   45.3  25.7   1   1   4.3e-15   2.4e-12   45.3  25.7    26   190    62   237    57   243 0.67 palmitoyltransferase, putative [Plasmodium vivax]
SCO71163.1           -            287 9900at5820           -            237   5.1e-11   41.0  14.3   1   1     9e-14   5.1e-11   41.0  14.3    41   206    64   245    26   251 0.67 palmitoyltransferase, putative [Plasmodium vivax]
SCO74163.1           -            641 9900at5820           -            237   2.5e-09   35.5   3.5   1   1   1.3e-11   7.4e-09   33.9   3.5    66   135   433   503   415   577 0.63 palmitoyltransferase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9900at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9900at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9900at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:16:05 2026
# [ok]
