#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1119400.1-p1   -            674 5931at5820           -            453    6e-224  742.3  25.1   1   3  3.7e-149  6.1e-146  485.1   4.9     1   243     1   245     1   267 0.95 | transcript=PVP01_1119400.1 | gene=PVP01_1119400 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_11_v2:822453-824477(+) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119400.1-p1   -            674 5931at5820           -            453    6e-224  742.3  25.1   2   3     2e-76   3.3e-73  245.4   6.3   249   415   373   556   365   581 0.79 | transcript=PVP01_1119400.1 | gene=PVP01_1119400 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_11_v2:822453-824477(+) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119400.1-p1   -            674 5931at5820           -            453    6e-224  742.3  25.1   3   3   1.5e-08   2.4e-05   21.7   0.3   416   453   625   662   609   662 0.77 | transcript=PVP01_1119400.1 | gene=PVP01_1119400 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_11_v2:822453-824477(+) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921000.1-p1   -            367 5931at5820           -            453   6.5e-07   26.8   1.6   1   1   5.7e-10   9.4e-07   26.3   1.6   102   209   120   222    83   241 0.79 | transcript=PVP01_0921000.1 | gene=PVP01_0921000 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase fold domain containing protein, putative | transcript_product=alpha/beta hydrolase fold domain containing protein, putative | location=PvP01_09_v2:909730-911008(-) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214400.1-p1   -            591 5931at5820           -            453   1.3e-06   25.8   1.6   1   2   1.4e-09   2.3e-06   25.1   0.3   105   166    62   120    51   187 0.80 | transcript=PVP01_0214400.1 | gene=PVP01_0214400 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_02_v2:612216-614985(-) | protein_length=591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214400.1-p1   -            591 5931at5820           -            453   1.3e-06   25.8   1.6   2   2      0.32   5.2e+02   -2.5   0.0   338   372   226   260   223   270 0.78 | transcript=PVP01_0214400.1 | gene=PVP01_0214400 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_02_v2:612216-614985(-) | protein_length=591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303100.1-p1   -            867 5931at5820           -            453   5.7e-06   23.7   0.1   1   3   3.5e-09   5.7e-06   23.7   0.1   119   199    43   121    24   142 0.82 | transcript=PVP01_0303100.1 | gene=PVP01_0303100 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_03_v2:155417-158020(-) | protein_length=867 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303100.1-p1   -            867 5931at5820           -            453   5.7e-06   23.7   0.1   2   3      0.75   1.2e+03   -3.7   0.2   327   346   169   188   154   194 0.77 | transcript=PVP01_0303100.1 | gene=PVP01_0303100 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_03_v2:155417-158020(-) | protein_length=867 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303100.1-p1   -            867 5931at5820           -            453   5.7e-06   23.7   0.1   3   3      0.27   4.4e+02   -2.3   0.2    12    47   789   825   781   833 0.72 | transcript=PVP01_0303100.1 | gene=PVP01_0303100 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_03_v2:155417-158020(-) | protein_length=867 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5931at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:12 2026
# [ok]
