#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084835.1-p1      -            257 11045at5820          -            214  4.3e-118  390.9   8.8   1   1  1.4e-120  5.8e-118  390.4   8.8     1   214     1   238     1   238 0.93 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 11045at5820          -            214   9.5e-14   49.8  15.9   1   4       5.6   2.4e+03   -3.7   0.0   186   212    38    66    35    68 0.70 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 11045at5820          -            214   9.5e-14   49.8  15.9   2   4   0.00053      0.23    9.4   0.1    13    52   194   233   180   269 0.68 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 11045at5820          -            214   9.5e-14   49.8  15.9   3   4   8.3e-08   3.5e-05   21.8   0.7   109   199   357   444   335   459 0.82 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 11045at5820          -            214   9.5e-14   49.8  15.9   4   4     3e-09   1.3e-06   26.6   2.6    18   191   593   771   578   784 0.69 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 11045at5820          -            214   1.1e-12   46.3  12.1   1   5   0.00014     0.059   11.3   0.1    14    98   398   482   380   511 0.75 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 11045at5820          -            214   1.1e-12   46.3  12.1   2   5   9.3e-07   0.00039   18.4   0.2   114   179   578   643   552   660 0.86 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 11045at5820          -            214   1.1e-12   46.3  12.1   3   5       2.7   1.1e+03   -2.7   0.1   122   175   899   951   887   960 0.73 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 11045at5820          -            214   1.1e-12   46.3  12.1   4   5    0.0053       2.3    6.1   0.0    16    63  1181  1228  1162  1239 0.75 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 11045at5820          -            214   1.1e-12   46.3  12.1   5   5   8.6e-06    0.0037   15.3   0.1   114   177  1355  1418  1334  1431 0.85 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 11045at5820          -            214   5.1e-11   40.9   3.8   1   2   1.2e-06    0.0005   18.1   0.4    15   125   615   731   607   746 0.80 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
