#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472151.1         -            316 12286at5820          -            258  1.6e-118  393.1 107.8   1   2   3.3e-85   6.1e-83  276.5  80.0     1   184     1   205     1   206 0.85 | transcript=PVW1_140033300_t1 | gene=PVW1_140033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1213167-1214612(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472151.1         -            316 12286at5820          -            258  1.6e-118  393.1 107.8   2   2   2.2e-37     4e-35  119.8  43.1   141   258   188   314   187   314 0.76 | transcript=PVW1_140033300_t1 | gene=PVW1_140033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1213167-1214612(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480603.1         -            409 12286at5820          -            258   4.4e-05   21.3   5.6   1   1   3.7e-07   6.7e-05   20.7   5.6   140   219    70   151    47   158 0.53 | transcript=PVW1_070028500_t1 | gene=PVW1_070028500 | organism=Plasmodium_vivax_PvW1 | gene_product=BPL/LPL catalytic domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTX2] | transcript_product=BPL/LPL catalytic domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTX2] | location=CAJZCX010000011:1042113-1043342(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473195.1         -           1080 12286at5820          -            258   0.00011   20.1   7.7   1   1   1.2e-06   0.00022   19.0   7.7   150   213   108   169    79   186 0.60 | transcript=PVW1_120023600_t1 | gene=PVW1_120023600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:839118-842524(-) | protein_length=1080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 12286at5820          -            258   0.00036   18.4  31.0   1   2   1.9e-06   0.00036   18.4  31.0   107   191   212   295   191   345 0.41 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 12286at5820          -            258   0.00036   18.4  31.0   2   2      0.76   1.4e+02    0.0  10.9   157   196   536   565   487   609 0.55 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471879.1         -            470 12286at5820          -            258    0.0012   16.6   6.1   1   1     1e-05    0.0019   16.0   6.1   151   213    72   138    54   179 0.49 | transcript=PVW1_140016000_t1 | gene=PVW1_140016000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:517563-520661(-) | protein_length=470 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483218.1         -            844 12286at5820          -            258    0.0013   16.5  30.6   1   1   2.2e-05     0.004   14.9  30.6   125   178   358   411   349   423 0.68 | transcript=PVW1_030012900_t1 | gene=PVW1_030012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:408354-411065(-) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477183.1         -            435 12286at5820          -            258    0.0014   16.5  46.4   1   1   7.4e-06    0.0014   16.5  46.4   127   202   348   427   320   435 0.51 | transcript=PVW1_090045400_t1 | gene=PVW1_090045400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1800326-1801811(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485082.1         -           1671 12286at5820          -            258    0.0017   16.2  17.1   1   2       9.8   1.8e+03   -3.6  12.3   131   188   995  1052   964  1081 0.48 | transcript=PVW1_010021000_t1 | gene=PVW1_010021000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:722226-730500(-) | protein_length=1671 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485082.1         -           1671 12286at5820          -            258    0.0017   16.2  17.1   2   2   9.1e-06    0.0017   16.2  17.1   142   210  1217  1290  1192  1297 0.50 | transcript=PVW1_010021000_t1 | gene=PVW1_010021000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:722226-730500(-) | protein_length=1671 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
