#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71617.1           -            473 7686at5820           -            351  1.2e-169  562.4  17.2   1   2   7.3e-97   6.6e-94  313.4   7.7     1   198    95   303    95   319 0.95 RAP protein, putative [Plasmodium vivax]
SCO71617.1           -            473 7686at5820           -            351  1.2e-169  562.4  17.2   2   2   4.4e-79     4e-76  254.9   2.0   196   338   327   472   323   473 0.98 RAP protein, putative [Plasmodium vivax]
SCO75319.1           -            943 7686at5820           -            351   5.6e-08   30.7  20.4   1   3    0.0021       1.8    6.0   2.1   107   175   314   382   276   415 0.73 RAP protein, putative [Plasmodium vivax]
SCO75319.1           -            943 7686at5820           -            351   5.6e-08   30.7  20.4   2   3   7.4e-07   0.00066   17.3   0.2     7    65   430   489   427   499 0.83 RAP protein, putative [Plasmodium vivax]
SCO75319.1           -            943 7686at5820           -            351   5.6e-08   30.7  20.4   3   3   2.6e-06    0.0024   15.5   5.7   236   344   717   826   706   828 0.87 RAP protein, putative [Plasmodium vivax]
SCO74205.1           -            443 7686at5820           -            351   8.7e-08   30.1   0.9   1   1   1.6e-10   1.4e-07   29.4   0.9   287   344   342   400   336   408 0.82 RAP protein, putative [Plasmodium vivax]
SCO70365.1           -            643 7686at5820           -            351   1.6e-06   26.0   9.3   1   3         7   6.3e+03   -8.2   4.7   233   259    58    83    51    87 0.43 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 7686at5820           -            351   1.6e-06   26.0   9.3   2   3     7e-05     0.063   10.8   3.1   103   190   246   333   159   338 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 7686at5820           -            351   1.6e-06   26.0   9.3   3   3   1.8e-09   1.6e-06   26.0   9.3   109   288   438   636   364   640 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75512.1           -           1244 7686at5820           -            351   6.3e-06   24.0   0.4   1   6         1   9.1e+02   -2.8   0.3    61   129   111   174    89   182 0.67 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 7686at5820           -            351   6.3e-06   24.0   0.4   2   6     0.081        73    0.8   0.1    90   135   280   327   229   331 0.70 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 7686at5820           -            351   6.3e-06   24.0   0.4   3   6     0.017        15    3.0   4.5    72   214   411   563   408   568 0.72 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 7686at5820           -            351   6.3e-06   24.0   0.4   4   6     0.017        15    3.0   8.3     9   195   608   803   603   811 0.68 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 7686at5820           -            351   6.3e-06   24.0   0.4   5   6    0.0016       1.5    6.3   0.0   248   284   927   963   868   967 0.88 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 7686at5820           -            351   6.3e-06   24.0   0.4   6   6     7e-09   6.3e-06   24.0   0.4   286   334  1036  1084  1027  1098 0.90 RAP protein, putative [Plasmodium vivax]
SCO71668.1           -            441 7686at5820           -            351   1.3e-05   23.0   8.3   1   1   6.2e-08   5.6e-05   20.9   8.2   111   335   137   377   117   392 0.70 RAP protein, putative [Plasmodium vivax]
SCO73533.1           -            976 7686at5820           -            351   1.4e-05   22.8   0.7   1   4         7   6.3e+03  -12.4  15.5    99   261    89   264    61   273 0.53 RAP protein, putative [Plasmodium vivax]
SCO73533.1           -            976 7686at5820           -            351   1.4e-05   22.8   0.7   2   4     0.004       3.6    5.1   0.1    42   147   449   559   444   564 0.71 RAP protein, putative [Plasmodium vivax]
SCO73533.1           -            976 7686at5820           -            351   1.4e-05   22.8   0.7   3   4   0.00028      0.25    8.9   0.7   219   283   716   783   636   791 0.71 RAP protein, putative [Plasmodium vivax]
SCO73533.1           -            976 7686at5820           -            351   1.4e-05   22.8   0.7   4   4   1.6e-08   1.4e-05   22.8   0.7   286   348   848   911   845   914 0.89 RAP protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7686at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:02:48 2026
# [ok]
