#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   1  16   1.1e-58   6.9e-55  184.6   5.6     1   126     1   133     1   138 0.95 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   2  16   5.2e-51   3.2e-47  159.2  13.2   123   234   194   305   178   330 0.90 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   3  16   1.2e-50   7.1e-47  158.0   2.4   236   339   357   461   345   507 0.87 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   4  16   1.9e-07    0.0012   14.8   0.0   350   377   537   564   518   572 0.83 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   5  16   1.7e-41     1e-37  127.7   9.6   376   489   609   759   606   762 0.82 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   6  16   5.5e-69   3.3e-65  218.8  10.1   490   649   794   987   780   995 0.84 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   7  16   6.3e-39   3.8e-35  119.1   0.6   647   728  1023  1105  1017  1111 0.95 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   8  16     3e-69   1.8e-65  219.7   0.4   719   860  1187  1335  1182  1345 0.93 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2   9  16   4.4e-11   2.7e-07   26.9   0.3   856   890  1358  1392  1340  1397 0.91 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2  10  16   4.4e-27   2.7e-23   79.9   0.5   907   969  1483  1545  1464  1552 0.92 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473152.1         -           2692 382at5820            -           1675         0 2400.6 193.2  11  16   3.3e-39     2e-35  120.1   4.8   976  1046  1642  1712  1626  1722 0.89 | transcript=PVW1_120019900_t1 | gene=PVW1_120019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:668367-676649(+) | protein_length=2692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
