#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100935.1-p1      -            896 3459at5820           -            642         0 1305.2  27.6   1   4   6.1e-08   1.5e-05   21.7   2.6     1    43    13    56    13    59 0.92 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 3459at5820           -            642         0 1305.2  27.6   2   4         0         0 1240.1   2.9    28   566    63   608    56   617 0.98 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 3459at5820           -            642         0 1305.2  27.6   3   4       0.3        76   -0.4   1.9   558   585   739   764   703   784 0.71 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 3459at5820           -            642         0 1305.2  27.6   4   4   4.2e-19   1.1e-16   58.6   0.3   583   642   818   894   796   894 0.83 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 3459at5820           -            642  4.9e-114  380.1   0.1   1   1  2.8e-116  7.2e-114  379.6   0.1   108   559   390   845   366   862 0.90 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 3459at5820           -            642  6.4e-112  373.1   5.9   1   2      0.93   2.3e+02   -2.0   1.6   551   586    74   109    26   120 0.73 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 3459at5820           -            642  6.4e-112  373.1   5.9   2   2  2.6e-114  6.4e-112  373.1   5.9   115   571   246   692   225   699 0.92 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 3459at5820           -            642   1.4e-98  329.1   2.0   1   3      0.48   1.2e+02   -1.1   2.0   553   598     6    51     2    87 0.68 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 3459at5820           -            642   1.4e-98  329.1   2.0   2   3   1.4e-46   3.6e-44  149.3   0.0   113   354   201   437   190   454 0.91 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 3459at5820           -            642   1.4e-98  329.1   2.0   3   3   6.4e-55   1.6e-52  176.9   0.0   115   366   476   721   464   734 0.89 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 3459at5820           -            642   5.2e-95  317.3   0.2   1   2   2.5e-46   6.2e-44  148.5   0.1   109   369   466   722   449   730 0.90 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
