#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0713700.1-p1   -            719 4609at5820           -            472  1.3e-231  767.9   8.9   1   4  9.4e-121  5.1e-118  393.3   0.2     6   215    24   235    20   249 0.97 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 4609at5820           -            472  1.3e-231  767.9   8.9   2   4   2.7e-59   1.5e-56  190.7   0.0   219   334   370   486   343   489 0.93 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 4609at5820           -            472  1.3e-231  767.9   8.9   3   4     6e-56   3.3e-53  179.6   1.1   335   456   524   654   519   659 0.94 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 4609at5820           -            472  1.3e-231  767.9   8.9   4   4     0.002       1.1    6.4   0.0   452   471   689   708   686   709 0.90 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4609at5820           -            472   9.4e-15   52.8  39.5   1   4   1.3e-07   7.1e-05   20.3   0.3    46   121   102   176    65   177 0.87 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4609at5820           -            472   9.4e-15   52.8  39.5   2   4   1.5e-10   7.9e-08   30.0   1.8   238   335   146   243   145   251 0.90 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4609at5820           -            472   9.4e-15   52.8  39.5   3   4   8.4e-05     0.046   11.0   4.7    43   131   250   343   246   371 0.78 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4609at5820           -            472   9.4e-15   52.8  39.5   4   4     5e-06    0.0027   15.1  15.4   244   397   348   509   341   522 0.78 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 4609at5820           -            472   1.7e-09   35.5  13.2   1   4     0.037        20    2.3   8.9   278   373   496   596   445   638 0.70 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 4609at5820           -            472   1.7e-09   35.5  13.2   2   4   3.1e-12   1.7e-09   35.5  13.2    45   193   641   782   633   785 0.89 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 4609at5820           -            472   1.7e-09   35.5  13.2   3   4     0.099        54    0.9  15.1    57   187   764   896   755   907 0.82 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
