#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481777.1         -            660 3835at5820           -            545  3.2e-301  997.9  54.8   1   2  1.4e-178  2.9e-175  582.2  31.2     1   312     1   354     1   360 0.92 | transcript=PVW1_060025600_t1 | gene=PVW1_060025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | transcript_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | location=CAJZCX010000012:848072-850054(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481777.1         -            660 3835at5820           -            545  3.2e-301  997.9  54.8   2   2  2.9e-127  5.8e-124  412.8  15.6   307   545   375   655   373   655 0.92 | transcript=PVW1_060025600_t1 | gene=PVW1_060025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | transcript_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | location=CAJZCX010000012:848072-850054(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478022.1         -            654 3835at5820           -            545   9.7e-08   29.2   7.6   1   3   1.1e-10   2.3e-07   28.0   0.7    34   259    24   253    12   261 0.77 | transcript=PVW1_110041200_t1 | gene=PVW1_110041200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1551171-1553135(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478022.1         -            654 3835at5820           -            545   9.7e-08   29.2   7.6   2   3       0.1   2.1e+02   -1.6   0.4   261   322   301   366   288   407 0.70 | transcript=PVW1_110041200_t1 | gene=PVW1_110041200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1551171-1553135(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478022.1         -            654 3835at5820           -            545   9.7e-08   29.2   7.6   3   3    0.0021       4.3    4.0   0.0   495   540   602   647   591   651 0.90 | transcript=PVW1_110041200_t1 | gene=PVW1_110041200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1551171-1553135(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482417.1         -            715 3835at5820           -            545   1.8e-07   28.3  34.8   1   4     0.033        67    0.1   0.3    20    68    16    63     9    72 0.77 | transcript=PVW1_040014700_t1 | gene=PVW1_040014700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | transcript_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | location=CAJZCX010000013:443216-445363(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482417.1         -            715 3835at5820           -            545   1.8e-07   28.3  34.8   2   4     1e-05      0.02   11.7   2.2    69   150    91   173    82   188 0.88 | transcript=PVW1_040014700_t1 | gene=PVW1_040014700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | transcript_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | location=CAJZCX010000013:443216-445363(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482417.1         -            715 3835at5820           -            545   1.8e-07   28.3  34.8   3   4     0.017        34    1.0   0.1   159   199   276   315   269   332 0.78 | transcript=PVW1_040014700_t1 | gene=PVW1_040014700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | transcript_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | location=CAJZCX010000013:443216-445363(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482417.1         -            715 3835at5820           -            545   1.8e-07   28.3  34.8   4   4   3.1e-10   6.4e-07   26.5  15.2   227   540   378   708   365   712 0.75 | transcript=PVW1_040014700_t1 | gene=PVW1_040014700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | transcript_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | location=CAJZCX010000013:443216-445363(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
