#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1119900|PVP01_1119900.1|unknown -            243 11633at5820          -            203     1e-97  324.4  20.8   1   1  1.7e-100   1.5e-97  323.8  20.8     1   203     2   223     2   223 0.95 -
GCA_040114635.1|PVP01_1112500|PVP01_1112500.1|unknown -            513 11633at5820          -            203   0.00011   20.6   0.3   1   3    0.0031       2.8    6.2   0.0    42    87    92   136    86   154 0.76 -
GCA_040114635.1|PVP01_1112500|PVP01_1112500.1|unknown -            513 11633at5820          -            203   0.00011   20.6   0.3   2   3   0.00035      0.31    9.4   0.0    33    85   182   238   176   250 0.76 -
GCA_040114635.1|PVP01_1112500|PVP01_1112500.1|unknown -            513 11633at5820          -            203   0.00011   20.6   0.3   3   3      0.16   1.5e+02    0.6   0.0    45    91   379   424   359   462 0.72 -
GCA_040114635.1|PVP01_0521000|PVP01_0521000.1|unknown -            361 11633at5820          -            203   0.00027   19.4   0.7   1   2   0.00055      0.49    8.7   0.1    18    94    96   173    90   185 0.79 -
GCA_040114635.1|PVP01_0521000|PVP01_0521000.1|unknown -            361 11633at5820          -            203   0.00027   19.4   0.7   2   2   0.00053      0.48    8.7   0.0    38    72   202   236   182   264 0.75 -
GCA_040114635.1|PVP01_1442500|PVP01_1442500.1|unknown -            882 11633at5820          -            203     0.001   17.5  10.3   1   4      0.49   4.4e+02   -0.9   0.0    38    93    16    70    10    82 0.75 -
GCA_040114635.1|PVP01_1442500|PVP01_1442500.1|unknown -            882 11633at5820          -            203     0.001   17.5  10.3   2   4     0.045        40    2.4   0.2    40    74   106   140    92   172 0.78 -
GCA_040114635.1|PVP01_1442500|PVP01_1442500.1|unknown -            882 11633at5820          -            203     0.001   17.5  10.3   3   4   0.00066      0.59    8.4   0.4    30    87   185   238   163   257 0.68 -
GCA_040114635.1|PVP01_1442500|PVP01_1442500.1|unknown -            882 11633at5820          -            203     0.001   17.5  10.3   4   4   0.00016      0.14   10.5   0.1    30    82   441   494   431   513 0.75 -
GCA_040114635.1|PVP01_1421700|PVP01_1421700.1|unknown -            124 11633at5820          -            203    0.0012   17.2   3.8   1   1   1.9e-06    0.0017   16.7   3.8    34   139     4   105     1   120 0.69 -
GCA_040114635.1|PVP01_0722400|PVP01_0722400.1|unknown -            202 11633at5820          -            203    0.0076   14.6   0.1   1   1   1.3e-05     0.012   14.0   0.1    31   102    64   131    38   143 0.82 -
GCA_040114635.1|PVP01_1328900|PVP01_1328900.1|unknown -            482 11633at5820          -            203     0.099   11.0   4.2   1   2    0.0053       4.8    5.5   0.2    35    69    17    51     8    97 0.80 -
GCA_040114635.1|PVP01_1328900|PVP01_1328900.1|unknown -            482 11633at5820          -            203     0.099   11.0   4.2   2   2    0.0019       1.7    6.9   0.7    38    91   107   158    90   190 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11633at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11633at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11633at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:01:01 2026
# [ok]
