#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0208600.1-p1   -            215 13889at5820          -            168     2e-77  257.4   8.7   1   2   2.1e-78   1.4e-75  251.4   5.3     1   151    15   176    15   181 0.93 | transcript=PVP01_0208600.1 | gene=PVP01_0208600 | organism=Plasmodium_vivax_P01 | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=PvP01_02_v2:357818-358625(+) | protein_length=215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208600.1-p1   -            215 13889at5820          -            168     2e-77  257.4   8.7   2   2    0.0026       1.7    7.1   0.1   155   168   202   215   198   215 0.88 | transcript=PVP01_0208600.1 | gene=PVP01_0208600 | organism=Plasmodium_vivax_P01 | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=PvP01_02_v2:357818-358625(+) | protein_length=215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 13889at5820          -            168   4.6e-10   38.2   0.6   1   1   8.7e-13   5.7e-10   37.9   0.6    31   161    11   142     2   147 0.89 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 13889at5820          -            168   3.3e-09   35.4   7.3   1   1   6.1e-12     4e-09   35.1   7.3    33   158    19   145     3   157 0.89 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 13889at5820          -            168    0.0001   20.8   7.9   1   2   2.5e-06    0.0016   16.9   1.8   104   164    38    99    26   104 0.86 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 13889at5820          -            168    0.0001   20.8   7.9   2   2    0.0012       0.8    8.1   0.9   103   151   110   158    96   176 0.71 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 13889at5820          -            168   0.00095   17.7   0.3   1   2      0.23   1.5e+02    0.8   0.0   122   151    25    54     9    70 0.58 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 13889at5820          -            168   0.00095   17.7   0.3   2   2   8.3e-06    0.0054   15.2   0.1   105   163    77   135    45   138 0.89 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 13889at5820          -            168    0.0013   17.3  10.9   1   2   5.5e-06    0.0036   15.8   0.3   105   149    12    56     3    67 0.86 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 13889at5820          -            168    0.0013   17.3  10.9   2   2     0.014       9.4    4.7   5.2    73   158   139   225   128   234 0.80 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 13889at5820          -            168    0.0032   15.9   0.7   1   1     3e-05     0.019   13.4   0.7    81   152    77   148    26   165 0.73 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
